119,TRUE,2019-04-08,VERIFIED,YS*5.01*143,107,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TRUE,2019-04-08,VERIFIED,GMRC*3*112,102,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,TRUE,2019-04-08,VERIFIED,IB*2*608,583,DATA DICTIONARY,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,FALSE,2019-04-09,VERIFIED,DSIF*3.2*55,37,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,TRUE,2019-04-10,VERIFIED,LR*5.2*516,421,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,TRUE,2019-04-10,VERIFIED,HDS*1*24,21,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,TRUE,2019-04-10,VERIFIED,FH*5.5*48,46,ROUTINE,NUTRITION AND FOOD SERVICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,TRUE,2019-04-10,VERIFIED,GMRC*3*120,103,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,TRUE,2019-04-10,VERIFIED,MPIF*1*69,67,ROUTINE,MASTER PATIENT INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,TRUE,2019-04-10,VERIFIED,RG*1*71,70,ROUTINE,CLINICAL INFO NETWORK (CIRN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,TRUE,2019-04-10,VERIFIED,DG*5.3*974,855,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,TRUE,2019-04-11,VERIFIED,IB*2*634,584,ENHANCEMENT,INTEGRATED BILLING,IBRC1901.ZIP,2019-04-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,TRUE,2019-04-12,VERIFIED,WEBE*2.9*2,2,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,TRUE,2019-04-12,VERIFIED,MAG*3*222,173,ROUTINE,VISTA IMAGING,"MAG3_0P222.KIDs
MAG3_0P222_BACKGROUND_PROCESSOR_SETUP_scrubbed.zip",2019-04-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,TRUE,2019-04-15,VERIFIED,OR*3*503,422,OTHER,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,TRUE,2019-04-15,VERIFIED,DVBA*2.7*209,179,ROUTINE,AMIE,DVBA_27_P209_01_scrubbed.zip,2019-04-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,TRUE,2019-04-15,VERIFIED,WEBI*14*1,1,INFORMATIONAL,IHTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,TRUE,2019-04-18,VERIFIED,YS*5.01*148,108,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,TRUE,2019-04-18,VERIFIED,PSS*1*235,205,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,TRUE,2019-04-19,VERIFIED,PSB*3*119,95,INFORMATIONAL,BAR CODE MEDICATION ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,TRUE,2019-04-21,VERIFIED,GMRV*5*38,30,ROUTINE,VITALS MEASUREMENT,"GMRV_5_0_P38_scrubbed.ZIP
GMRV_5_0_P38_SRC_scrubbed.ZIP",2019-04-21,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,TRUE,2019-04-22,VERIFIED,OR*3*444,423,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,TRUE,2019-04-22,VERIFIED,VPR*1*10,12,OTHER,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,FALSE,2019-04-23,VERIFIED,DSIF*3.2*58,38,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,TRUE,2019-04-23,VERIFIED,NHIN*1*21,19,INFORMATIONAL,NATIONAL HEALTH INFO NETWORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,TRUE,2019-04-25,VERIFIED,JLV*2.7*2,2,INFORMATIONAL,JOINT LEGACY VENTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,TRUE,2019-04-25,VERIFIED,ROR*1.5*34,34,ROUTINE,CLINICAL REGISTRIES,ROR1_5_34GUI_scrubbed.ZIP,2019-04-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,TRUE,2019-04-25,VERIFIED,MD*1*62,51,ROUTINE,CLINICAL PROCEDURES,MD_1_62_scrubbed.ZIP,2019-04-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,TRUE,2019-04-30,VERIFIED,FB*3.5*181,154,ROUTINE,FEE BASIS,FB3_5181.KIDs,2019-05-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,TRUE,2019-04-30,VERIFIED,PSB*3*114,96,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TRUE,2019-05-01,VERIFIED,LR*5.2*512,422,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,TRUE,2019-05-01,VERIFIED,MD*1*63,52,ROUTINE,CLINICAL PROCEDURES,MD_1_63_scrubbed.zip,2019-05-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,TRUE,2019-05-01,VERIFIED,LR*5.2*520,423,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,TRUE,2019-05-03,VERIFIED,JLV*2.7*4,3,INFORMATIONAL,JOINT LEGACY VENTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,TRUE,2019-05-06,VERIFIED,EAS*1*178,149,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TRUE,2019-05-06,VERIFIED,PRCA*4.5*354,304,INFORMATIONAL,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,TRUE,2019-05-07,VERIFIED,GMRC*3*118,104,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,TRUE,2019-05-08,VERIFIED,RA*4*154,138,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,TRUE,2019-05-09,VERIFIED,PSO*7*551,457,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,TRUE,2019-05-13,VERIFIED,DVB*4*68,64,ROUTINE,HINQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,TRUE,2019-05-13,VERIFIED,OR*3*509,424,ROUTINE,ORDER ENTRY RESULTS REPORTING,"OR_30_509_scrubbed.zip
OR_30_509_SRC_scrubbed.zip",2019-05-14,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,TRUE,2019-05-13,VERIFIED,DG*5.3*975,856,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,TRUE,2019-05-13,VERIFIED,GMRC*3*125,105,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,TRUE,2019-05-13,VERIFIED,MAG*3*205,174,INFORMATIONAL,VISTA IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,TRUE,2019-05-14,VERIFIED,RA*5*156,139,INFORMATIONAL,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,TRUE,2019-05-15,VERIFIED,PSJ*5*386,329,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,TRUE,2019-05-17,VERIFIED,RA*5*159,140,INFORMATIONAL,RADIOLOGY,RA-5_SEQ-140_PAT-159.txts,2019-05-21,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,TRUE,2019-05-17,VERIFIED,GMRC*3*124,106,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,TRUE,2019-05-21,VERIFIED,PSO*7*556,458,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,TRUE,2019-05-21,VERIFIED,DG*5.3*976,857,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,TRUE,2019-05-22,VERIFIED,OR*3*505,425,OTHER,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,TRUE,2019-05-22,VERIFIED,HDS*1*25,22,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,TRUE,2019-05-22,VERIFIED,GMRC*3*129,101,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,TRUE,2019-05-23,VERIFIED,PSO*7*543,459,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,TRUE,2019-05-23,VERIFIED,MAG*3*221,175,ROUTINE,VISTA IMAGING,"MAG3_0P221.KIDs
MAG3_0P221_scrubbed.ZIP",2019-05-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,TRUE,2019-05-23,VERIFIED,MAG*3*233,176,ROUTINE,VISTA IMAGING,"MAG3_0P233.KIDs
MAG3_0p233_scrubbed.zip",2019-05-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,TRUE,2019-05-23,VERIFIED,VIAB*1*15,15,ROUTINE,VISTA INTEGRATION ADAPTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,TRUE,2019-05-28,VERIFIED,VPR*1*15,13,ROUTINE,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,TRUE,2019-05-29,VERIFIED,PSB*3*118,97,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,PSB3_0P118_scrubbed.zip,2019-05-29,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,TRUE,2019-05-29,VERIFIED,FB*3.5*164,155,ENHANCEMENT,FEE BASIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,TRUE,2019-05-29,VERIFIED,RMPR*3*201,176,ROUTINE,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,TRUE,2019-05-29,VERIFIED,GMRC*3*127,108,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,TRUE,2019-05-29,VERIFIED,ORRC*1*13,10,ROUTINE,CARE MANAGEMENT,DECOMMISSIONED 6/30/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,FALSE,2019-05-31,VERIFIED,DSIF*4.2*0,0,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,TRUE,2019-05-31,VERIFIED,PSO*7*563,460,INFORMATIONAL,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,TRUE,2019-05-31,VERIFIED,GMRC*3*130,109,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,TRUE,2019-06-04,VERIFIED,LR*5.2*517,424,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,TRUE,2019-06-06,VERIFIED,PSB*3*116,98,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,TRUE,2019-06-06,VERIFIED,MAG*3*234,177,ROUTINE,VISTA IMAGING,"MAG3_0P234.KIDs
MAG3_0P234_scrubbed.zip",2019-06-06,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,TRUE,2019-06-07,VERIFIED,GMRC*3*128,110,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,TRUE,2019-06-10,VERIFIED,FH*5.5*49,47,ROUTINE,NUTRITION AND FOOD SERVICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,TRUE,2019-06-10,VERIFIED,WEBD*2.4*1,1,INFORMATIONAL,DIRECT SECURE MESSAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,TRUE,2019-06-10,VERIFIED,DI*22.2*14,11,ROUTINE,VISTA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,TRUE,2019-06-10,VERIFIED,PSJ*5*387,330,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,TRUE,2019-06-11,VERIFIED,TIU*1*325,287,INFORMATIONAL,TEXT UTILITY INTEGRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,TRUE,2019-06-11,VERIFIED,GMRC*3*132,111,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,TRUE,2019-06-12,VERIFIED,VBEC*2*3,3,ROUTINE,VISTA BLOOD ESTABLISHMENT COMPUTER SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,TRUE,2019-06-12,VERIFIED,VDEF*1*15,6,INFORMATIONAL,VISTA DATA EXTRACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,TRUE,2019-06-13,VERIFIED,GMRC*3*126,112,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,TRUE,2019-06-14,VERIFIED,PSS*1*234,206,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,TRUE,2019-06-14,VERIFIED,PSN*4*567,549,ROUTINE,NATIONAL DRUG FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,TRUE,2019-06-14,VERIFIED,GMTS*2.7*125,115,ROUTINE,HEALTH SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,TRUE,2019-06-14,VERIFIED,NHIN*1*22,20,INFORMATIONAL,NATIONAL HEALTH INFO NETWORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,TRUE,2019-06-17,VERIFIED,EAS*1*179,150,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,TRUE,2019-06-17,VERIFIED,LEX*2*122,113,ROUTINE,CLINICAL LEXICON,LEX_2_122.GBLs,2019-06-19,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,TRUE,2019-06-17,VERIFIED,ICPT*6*89,87,INFORMATIONAL,CPT CODES,LEX_2_122.GBLs,2019-06-19,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,TRUE,2019-06-18,VERIFIED,HL*1.6*171,135,ROUTINE,HEALTH LEVEL SEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,TRUE,2019-06-18,VERIFIED,CRHD*1*8,6,ROUTINE,SHIFT HANDOFF TOOL,"CRHD_1_8_scrubbed.zip
CRHD_1_8_SRC_scrubbed.zip",2019-06-18,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,TRUE,2019-06-20,VERIFIED,DG*5.3*979,858,PRINT TEMPLATE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,TRUE,2019-06-21,VERIFIED,MD*1*69,53,ROUTINE,CLINICAL PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,TRUE,2019-06-24,VERIFIED,SD*5.3*729,582,INFORMATIONAL,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,TRUE,2019-06-25,VERIFIED,SD*5.3*724,583,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,TRUE,2019-06-25,VERIFIED,YS*5.01*147,109,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,TRUE,2019-06-25,VERIFIED,GMRC*3*133,113,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,TRUE,2019-06-26,VERIFIED,MAG*3*229,178,INFORMATIONAL,VISTA IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,TRUE,2019-06-26,VERIFIED,PRCA*4.5*332,305,ROUTINE,ACCOUNTS RECEIVABLE,PRCA_IB_EPAYMENTS_BUNDLE_4_0.KIDs,2019-06-26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,TRUE,2019-06-26,VERIFIED,IB*2*633,585,ROUTINE,INTEGRATED BILLING,PRCA_IB_EPAYMENTS_BUNDLE_4_0.KIDs,2019-06-26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,TRUE,2019-06-27,VERIFIED,PSN*4*568,550,ROUTINE,NATIONAL DRUG FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,TRUE,2019-06-28,VERIFIED,LR*5.2*523,425,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,TRUE,2019-07-01,VERIFIED,DI*22.2*16,12,DATA DICTIONARY,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,TRUE,2019-07-02,VERIFIED,PRCA*4.5*347,306,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,TRUE,2019-07-02,VERIFIED,GMRC*3*131,114,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,TRUE,2019-07-03,VERIFIED,WEBN*1.1*10,10,INFORMATIONAL,NATIONAL UTILIZATION MANAGEMENT INTEGRATION (NUMI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,TRUE,2019-07-05,VERIFIED,GMRC*3*1356,115,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,TRUE,2019-07-08,VERIFIED,DGBT*1*38,36,ROUTINE,BENEFICIARY TRAVEL,,,
225,TRUE,2019-07-09,VERIFIED,PSO*7*548,461,ROUTINE,OUTPATIENT PHARMACY,,,
226,TRUE,2019-07-10,VERIFIED,HDS*1*26,23,INFORMATIONAL,HEALTH DATA REPOSITORY,,,
227,TRUE,2019-07-11,VERIFIED,EC*2*145,139,ROUTINE,EVENT CAPTURE,ECS GUI_scrubbed.ZIP,2019-07-11,YES
228,TRUE,2019-07-11,VERIFIED,PSO*7*558,462,ROUTINE,OUTPATIENT PHARMACY,,,
229,TRUE,2019-07-11,VERIFIED,MAG*3*235,179,ROUTINE,VISTA IMAGING,"MAG3_0P235.KIDs
MAG3_0P235_BACKGROUND_PROCESSOR_SETUP.scrubbed",2019-07-11,YES
230,TRUE,2019-07-11,VERIFIED,XU*8*693,550,ROUTINE,VISTA KERNEL,,,
231,TRUE,2019-07-12,VERIFIED,WEBE*3*1,1,INFORMATIONAL,COMMUNITY VIEWER,,,
232,TRUE,2019-07-12,VERIFIED,GMTS*2.7*127,116,ROUTINE,HEALTH SUMMARY,,,
233,TRUE,2019-07-15,VERIFIED,YS*5.01*122,110,ROUTINE,MENTAL HEALTH,MH_NCC_PROJ_5_01.KIDs,2019-07-15,YES
234,TRUE,2019-07-15,VERIFIED,OR*3*427,426,ROUTINE,ORDER ENTRY RESULTS REPORTING,MH_NCC_PROJ_5_01.KIDs,2019-07-15,YES
235,TRUE,2019-07-15,VERIFIED,PSO*7*457,463,ROUTINE,OUTPATIENT PHARMACY,MH_NCC_PROJ_5_01.KIDs,2019-07-15,YES
