143,TRUE,2017-04-18,VERIFIED,SD*5.3*651,544,ROUTINE,SCHEDULING,,,
144,TRUE,2017-04-18,VERIFIED,SD*5.3*658,545,ROUTINE,SCHEDULING,,,
145,TRUE,2017-04-18,VERIFIED,MBAA*1*4,3,ROUTINE,MOBILE SCHEDULING APPLICATIONS SUITE,,,
133,TRUE,2017-04-18,VERIFIED,SD*5.3*667,546,INFORMATIONAL,SCHEDULING,,,
134,TRUE,2017-04-18,VERIFIED,SD*5.3*656,547,INFORMATIONAL,SCHEDULING,,,
135,TRUE,2017-04-19,VERIFIED,WEBA*2.6*3,3,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,
136,TRUE,2017-04-24,VERIFIED,PSN*4*518,501,ROUTINE,NATIONAL DRUG FILE,NDF4P518.KID,2017-04-24,NO
137,TRUE,2017-04-24,VERIFIED,PSN*4*519,502,ROUTINE,NATIONAL DRUG FILE,NDF4p519.KIDs,2017-04-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,TRUE,2017-04-25,VERIFIED,MAG*3*175,129,INFORMATIONAL,VISTA IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,TRUE,2017-04-25,VERIFIED,MAG*3*164,130,ROUTINE,VISTA IMAGING,MAG3_0P164.KIDs,2017-04-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,TRUE,2017-04-26,VERIFIED,XU*8*676,528,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,TRUE,2017-04-27,VERIFIED,XU*8*6675,529,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,TRUE,2017-04-27,VERIFIED,PRCA*4.5*324,282,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TRUE,2017-04-27,VERIFIED,PSO*7*440,396,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,TRUE,2017-04-28,VERIFIED,TIU*1*309,275,DATA DICTIONARY,TEXT INTEGRATION UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,TRUE,2017-04-28,VERIFIED,WEBE*1*1,1,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,TRUE,2017-05-01,VERIFIED,GMRV*5*27,25,OTHER,VITALS,VITL5_P27_SRC_scrubbed.zip,2017-05-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,TRUE,2017-05-01,VERIFIED,VSS*5*2`,2,INFORMATIONAL,VOLUNTARY SERVICE SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TRUE,2017-05-01,VERIFIED,PSS*1*198,170,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,TRUE,2017-05-02,VERIFIED,PSO*7*483,397,INFORMATIONAL,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,TRUE,2017-05-03,VERIFIED,RMPR*3*183,160,OTHER,PROSTHETICS,RMPR3_0P183GUI_1_scrubbed.ZIP,2017-05-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,TRUE,2017-05-03,VERIFIED,RMPR*3*184,161,OTHER,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,TRUE,2017-05-03,VERIFIED,MMRS*1*5,5,ROUTINE,MRSA INITIATIVE REPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,TRUE,2017-05-03,VERIFIED,SD*5.3*659,548,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,TRUE,2017-05-04,VERIFIED,PRC*5.1*197,172,OTHER,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,TRUE,2017-05-08,VERIFIED,DG*5.3*907,821,ENHANCEMENT,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,TRUE,2017-05-08,VERIFIED,PSN*4*520,503,ROUTINE,NATIONAL DRUG FILE,NDF4P520.KIDs,2017-05-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,TRUE,2017-05-08,VERIFIED,XU*8*680,530,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,TRUE,2017-05-09,VERIFIED,PSO*7*472,398,DATA DICTIONARY,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,TRUE,2017-05-09,VERIFIED,GMRA*4*55,50,DATA DICTIONARY,ADVERSE REACTION TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,TRUE,2017-05-09,VERIFIED,MD*1*49,34,OTHER,CLINICAL PROCEDURES,MD_1_49_CPUSER_scrubbed.ZIP,2017-05-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,TRUE,2017-05-09,VERIFIED,MD*1*50,35,OTHER,CLINICAL PROCEDURES,MD_1_50_CPHEMODIALYSIS_SCRUBBED.MSI,2017-05-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,TRUE,2017-05-09,VERIFIED,MD*1*51,36,OTHER,CLINICAL PROCEDURES,MD_1_51_CPFLOWSHEETS_SCRUBBED.MSI,2017-05-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,TRUE,2017-05-09,VERIFIED,MD*1*52,37,OTHER,CLINICAL PROCEDURES,MD_1_52_CPCONSOLE_SCRUBBED.MSI,2017-05-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,FALSE,2017-05-10,VERIFIED,DSIR*8.2*12,12,ENHANCEMENT,RELEASE OF INFORMATION,PROHIBITED BY COPYRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,TRUE,2017-05-15,VERIFIED,PSS*1*201,180,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,FALSE,2017-05-16,VERIFIED,OR*3*360,375,ROUTINE,ORDER ENTRY RESULTS REPORTING,PULLED - ENTERED IN ERROR 6/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,TRUE,2017-05-17,VERIFIED,WEBA*2.7*1,1,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,TRUE,2017-05-17,VERIFIED,HDS*1*11,8,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,TRUE,2017-05-22,VERIFIED,PSN*4*521,504,ROUTINE,NATIONAL DRUG FILE,NDF4P521.KIDs,2017-05-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,TRUE,2017-05-22,VERIFIED,PSN*4*522,505,ROUTINE,NATIONAL DRUG FILE,NDF4P522.KIDs,2017-05-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,TRUE,2017-05-22,VERIFIED,EAS*1*148,121,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,TRUE,2017-05-22,VERIFIED,LEX*2*111,101,ROUTINE,CLINICAL LEXICON,LEX_2_111.GBLs,2017-05-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,TRUE,2017-05-22,VERIFIED,ICD*18*91,81,INFORMATIONAL,DRG GROUPER,LEX_2_111.GBLs,2017-05-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,TRUE,2017-05-22,VERIFIED,ICPT*6*79,77,INFORMATIONAL,CPT CODES,LEX_2_111.GBLs,2017-05-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,TRUE,2017-05-22,VERIFIED,WEBP*1*12,12,INFORMATIONAL,PCMM (PATIENT CENTERED MANAGEMENT MODULE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,TRUE,2017-05-24,VERIFIED,DG*5.3*937,822,DATA DICTIONARY,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,TRUE,2017-05-24,VERIFIED,RG*1*67,66,ROUTINE,CIRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,TRUE,2017-05-24,VERIFIED,PSO*7*485,399,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,TRUE,2017-05-30,VERIFIED,TBI*2*15,16,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,TRUE,2017-05-31,VERIFIED,LR*5.2*477,388,ENHANCEMENT,LABORATORY,LR_52_477.KID,2017-06-01,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,TRUE,2017-06-01,VERIFIED,RA*5*138,121,DATA DICTIONARY,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,TRUE,2017-06-01,VERIFIED,PSB*3*92,80,ROUTINE,BAR CODE MED ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,TRUE,2017-06-05,VERIFIED,DG*5.3*934,823,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,TRUE,2017-06-05,VERIFIED,DG*5.3*939,824,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,TRUE,2017-06-06,VERIFIED,PRC*5.1*199,173,ROUTINE,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,TRUE,2017-06-07,VERIFIED,HMP*2*10,8,INFORMATIONAL,HEALTH MANAGEMENT PLATFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,TRUE,2017-07-08,VERIFIED,TIU*1*311,276,OTHER,TEXT INTEGRATION UTILITY,MOBILEELECTRONICDOCUMENTATION_TIU-1-311.MSI,2017-06-08,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,TRUE,2017-06-08,VERIFIED,VIAB*1*9,10,ROUTINE,VISTA INTEGRATION ADAPTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,TRUE,2017-06-12,VERIFIED,MD*1*47,38,ROUTINE,CLINICAL PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,TRUE,2017-06-12,VERIFIED,PRCA*4.5*307,283,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,TRUE,2017-06-13,VERIFIED,PSN*4*523,506,ROUTINE,NATIONAL DRUG FILE,NDF4P523.KIDs,2017-06-13,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,TRUE,2017-06-13,VERIFIED,PSJ*5*339,290,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,TRUE,2017-06-14,VERIFIED,OR*3*440,376,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,TRUE,2017-06-15,VERIFIED,PSO*7*479,400,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,TRUE,2017-06-15,VERIFIED,MHV*1*32,24,INFORMATIONAL,MYHEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,TRUE,2017-06-16,VERIFIED,HMP*2*3,9,ROUTINE,HEALTH MANAGEMENT PLATFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,TRUE,2017-06-16,VERIFIED,IB*2*587,542,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,TRUE,2017-06-16,VERIFIED,MAG*3*181,131,OTHER,VISTA IMAGING,"MAG3_0-181.KIDs
MAG3_0P181_CLINICAL_DISPLAY_SCRUBBED.ZIP",2017-06-22,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,TRUE,2017-06-16,VERIFIED,PSO*7*484,401,ROUTINE,OUTPATIENT PHARMACY,PSO_7_464_OR_3_457_BUNDLE.KID,2017-06-22,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,TRUE,2017-06-16,VERIFIED,OR*3*457,377,ROUTINE,ORDER ENTRY RESULTS REPORTING,PSO_7_464_OR_3_457_BUNDLE.KID,2017-06-22,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,TRUE,2017-06-19,VERIFIED,EAS*1*149,122,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,TRUE,2017-06-20,VERIFIED,MAG*3*182,132,OTHER,VISTA IMAGING,"MAG3_0P182.KIDs
MAG3_0P182_TELEREADER_scrubbed.zip",2017-06-22,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,TRUE,2017-06-21,VERIFIED,WEBP*1*13,13,INFORMATIONAL,PCMM (PATIENT CENTERED MANAGEMENT MODULE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,TRUE,2017-06-21,VERIFIED,HDS*1*12,9,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,TRUE,2017-06-22,VERIFIED,EAS*1*150,123,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,FALSE,2017-06-23,VERIFIED,MAG*3*179,133,OTHER,VISTA IMAGING,ENTERED IN ERROR,2017-06-26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,TRUE,2017-06-26,VERIFIED,PSO*7*489,402,INFORMATIONAL,OUTPATIENT PHARMACY,PSO_7_P489_scrubbed.zip,2017-06-26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,TRUE,2017-06-26,VERIFIED,SD*5.3*665,549,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,TRUE,2017-06-26,VERIFIED,SD*5.3*669,550,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,TRUE,2017-06-27,VERIFIED,PSN*4*524,507,ROUTINE,NATIONAL DRUG FILE,NDF4P524.KIDs,2017-06-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,TRUE,2017-06-27,VERIFIED,PSN*4*525,508,ROUTINE,NATIONAL DRUG FILE,NDF4P525.KIDs,2017-06-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,TRUE,2017-06-27,VERIFIED,LR*5.2*484,389,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,TRUE,2017-06-28,VERIFIED,DG*5.3*912,825,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,TRUE,2017-06-28,VERIFIED,MAG*3*178,134,OTHER,VISTA IMAGING,"MAG3_0P178.KIDs
MAG3_0P178_SCRUBBED.zip",2017-06-28,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,TRUE,2017-06-29,VERIFIED,WEBA*2.7*5,2,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,TRUE,2017-06-30,VERIFIED,MAG*3*184,135,OTHER,VISTA IMAGING,"MAG3_0P184.KIDs
MAG3_0P184_scrubbed.zip",2017-06-30,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,TRUE,2017-06-30,VERIFIED,PREM*3*1,1,INFORMATIONAL,MOCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,TRUE,2017-07-05,VERIFIED,ETS*1*0,NEW,ROUTINE,ENTERPRISE TERMINOLOGY SERVICES,ENTERPRISE_TERMINOLOGY_SERVICES_1_0.KID,2017-07-05,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,TRUE,2017-07-05,VERIFIED,IB*2*594,543,INFORMATIONAL,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,TRUE,2017-07-05,VERIFIED,IB*2*582,544,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,TRUE,2017-07-10,VERIFIED,PSN*4*526,509,ROUTINE,NATIONAL DRUG FILE,NDF4P526.KIDs,2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,TRUE,2017-07-10,VERIFIED,WEBI*9.5*2,2,INFORMATIONAL,INTEGRATED HOME TELEHEALTH APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,TRUE,2017-07-10,VERIFIED,PRS*4*142,137,ROUTINE,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,TRUE,2017-07-10,VERIFIED,XU*8*678,531,ENHANCEMENT,KERNEL,TXT redacted,2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,TRUE,2017-07-11,VERIFIED,DI*22.2*5,6,ROUTINE,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,TRUE,2017-07-12,VERIFIED,OR*3*436,378,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,TRUE,2017-07-14,VERIFIED,PREC*6.1*1,1,INFORMATIONAL,PHARMACY ENTERPRISE CUSTOM SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,TRUE,2017-07-17,VERIFIED,TIU*1*258,277,ENHANCEMENT,TEXT INTEGRATION UTILITY,"HT_TEMPLATES_1_0.KIDs
HT_TXML_TEMPLATES_scrubbed.zip",2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,TRUE,2017-07-17,VERIFIED,PXRM*2*19,50,ENHANCEMENT,CLINICAL REMINDERS,"HT_TEMPLATES_1_0.KIDs
HT_TXML_TEMPLATES_scrubbed.zip",2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,TRUE,2017-07-17,VERIFIED,GMTS*2.7*98,109,ROUTINE,HEALTH SUMMARY,"HT_TEMPLATES_1_0.KIDs
HT_TXML_TEMPLATES_scrubbed.zip",2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,TRUE,2017-07-18,VERIFIED,PSB*3*98,81,ROUTINE,BAR CODE MED ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,TRUE,2017-07-19,VERIFIED,RG*1*68,67,ENHANCEMENT,CIRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,TRUE,2017-07-19,VERIFIED,DG*5.3*943,826,ENHANCEMENT,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,TRUE,2017-07-20,VERIFIED,PREN*1.3*1,1,INFORMATIONAL,PHARMACY PRODUCT SYSTEM-NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,TRUE,2017-07-20,VERIFIED,OR*3*461,379,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,TRUE,2017-07-21,VERIFIED,NHIN*1*13,11,INFORMATIONAL,NATIONAL HEALTH INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,TRUE,2017-07-22,VERIFIED,TIU*1*297,278,DATA DICTIONARY,TEXT INTEGRATION UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,TRUE,2017-07-24,VERIFIED,IB*2*576,545,DATA DICTIONARY,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,FALSE,2017-07-25,VERIFIED,XM*DBA*181,175,DATA DICTIONARY,KERNEL DATABASE,PROHIBITED BY COPYRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,TRUE,2017-07-25,VERIFIED,PSN*4*527,510,ROUTINE,NATIONAL DRUG FILE,NDF4P527.KIDs,2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,TRUE,2017-07-25,VERIFIED,PSN*4*528,511,ROUTINE,NATIONAL DRUG FILE,NDF4P528.KIDs,2017-07-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,TRUE,2017-07-26,VERIFIED,LEX*2*103,102,ROUTINE,CLINICAL LEXICON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,TRUE,2017-07-26,VERIFIED,PRCA*4.5*325,284,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,TRUE,2017-07-27,VERIFIED,VBEC*2*2,1,INFORMATIONAL,VISTA BLOOD ESTABLISHMENT COMPUTER SOFTWARE (VBECS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,TRUE,2017-07-27,VERIFIED,PSJ*5*343,291,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,TRUE,2017-07-27,VERIFIED,MAG*3*170,136,ROUTINE,VISTA IMAGING,MAG3_0P170_scrubbed.zip,2017-08-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,TRUE,2017-07-31,VERIFIED,EC*2*134,128,ROUTINE,EVENT CAPTURE,EC_2_P134_scrubbed.zip,2017-08-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,TRUE,2017-07-31,VERIFIED,PSGW*2.3*18,18,ROUTINE,AUTO REPLENISHMENT/WARD STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,TRUE,2017-08-01,VERIFIED,DG*5.3*938,827,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,TRUE,2017-08-02,VERIFIED,BPS*1*21,19,ENHANCEMENT,HIPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,TRUE,2017-08-03,VERIFIED,MD*1*53,39,ROUTINE,CLINICAL PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,TRUE,2017-08-04,VERIFIED,WEBN*1.1*5,5,INFORMATIONAL,NUMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,TRUE,2017-08-07,VERIFIED,PSN*4*529,512,ROUTINE,NATIONAL DRUG FILE,NDF4P529.KIDs,2017-08-08,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,TRUE,2017-08-08,VERIFIED,DI*22.2*8,7,ROUTINE,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,TRUE,2017-08-08,VERIFIED,NHIN*1*14,12,INFORMATIONAL,NATIONAL HEALTH INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,TRUE,2017-08-08,VERIFIED,WEBA*2.7*6,3,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
