Sta #,VA Facility Location,ZIP 3,PBN,,,,,,,
544HK,"COLUMBIA VA MOBILE CLINIC, SC",292,2,,,,,,,
544MA,"SHAW AFB, SC (DES)",291,2,,,,,,,
544MB,"FT JACKSON, SC (DES)",292,2,,,,,,,
546,"BRUCE W. CARTER DEPT OF VAMC, FL",331,1,,,,,,,
546BZ,"WILLIAM ""BILL"" KLING VAOC, FL",333,2,,,,,,,
546GA,"MIAMI, FL (OSAC)",331,2,,,,,,,
546GB,"KEY WEST, FL",330,2,,,,,,,
546GC,"HOMESTEAD VA CLINIC, FL",330,2,,,,,,,
546GD,"PEMBROKE PINES VA CLINIC, FL",330,2,,,,,,,
546GE,"KEY LARGO VA CLINIC, FL",330,2,,,,,,,
546GF,"HOLLYWOOD VA CLINIC, FL",330,2,,,,,,,
546GH,"DEERFIELD BEACH VA CLINIC, FL",334,3,,,,,,,
548,"WEST PALM BEACH VAMC, FL",334,1,,,,,,,
548GA,"FORT PIERCE VA CLINIC, FL",349,2,,,,,,,
548GB,"DELRAY BEACH VA CLINIC, FL",334,2,,,,,,,
548GC,"STUART VA CLINIC, FL",349,2,,,,,,,
548GD,"BOCA RATON, FL",334,2,,,,,,,
548GE,"VERO BEACH VA CLINIC, FL",329,2,,,,,,,
548GF,"OKEECHOBEE VA CLINIC, FL",349,2,,,,,,,
548QA,"PORT SAINT LUCIE VA CLINIC, FL",349,3,,,,,,,
549,"DALLAS VA MEDICAL CENTER, TX",752,1,,,,,,,
5499A,"BONHAM NHCU, BONHAM, TX ",754,1,,,,,,,
549A4,"SAM RAYBURN MEMORIAL VET CNTR, TX",754,1,,,,,,,
549BY,"FORT WORTH VA CLINIC, TX ",761,2,,,,,,,
549GA,"TYLER VA CLINIC, TX",757,2,,,,,,,
549GC,"BONHAM VA CLINIC, TX ",754,3,,,,,,,
549GD,"DENTON VA CLINIC, TX",762,2,,,,,,,
549GE,"BRIDGEPORT VA CLINIC, TX",762,2,,,,,,,
549GF,"GRANBURY VA CLINIC, TX",764,2,,,,,,,
549GH,"GREENVILLE VA CLINIC, TX",754,2,,,,,,,
549GJ,"SHERMAN VA CLINIC, TX",750,3,,,,,,,
549GK,"POLK STREET VA CLINIC, TX",752,2,,,,,,,
549GL,"PLANO VA CLINIC, TX",750,2,,,,,,,
549HK,"NORTH TEXAS VA MOBILE CLINIC, TX",752,2,,,,,,,
549MA,"FORT WORTH, TX (DES)",761,2,,,,,,,
549QA,"DALLAS VA CLINIC, TX",752,2,,,,,,,
549QB,"EAST LANCASTER VA CLINIC, TX",761,2,,,,,,,
549QC,"BROADWAY VA CLINIC, TX",757,2,,,,,,,
550,"DANVILLE VA MEDICAL CENTER, IL",618,1,,,,,,,
550BY,"BOB MICHEL VA OPC, IL",616,2,,,,,,,
550GA,"DECATUR VA CLINIC, IL",625,2,,,,,,,
550GC,"LAFAYETTE, IN",479,2,,,,,,,
550GD,"SPRINGFIELD VA CLINIC, IL",627,2,,,,,,,
550GF,"CHARLESTON VA CLINIC, IL",619,2,,,,,,,
552,"DAYTON VA MEDICAL CENTER, OH",454,1,,,,,,,
552GA,"MIDDLETOWN VA CLINIC, OH",450,2,,,,,,,
552GB,"LIMA VA CLINIC, OH",458,2,,,,,,,
552GC,"RICHMOND VA CLINIC, IN",473,2,,,,,,,
552GD,"SPRINGFIELD VA  CLINIC, OH",455,2,,,,,,,
552MA,"DAYTON, OH (DES)",454,2,,,,,,,
552QA,"DAYTON 1 VA MOBILE CLINIC, OH",454,2,,,,,,,
552QB,"DAYTON 3rd ST. 2 VA MOBILE CLIN, OH",454,2,,,,,,,
552QC,"MONTGOMERY CO. 3 VA MOBILE CLIN, OH",454,2,,,,,,,
553,"JOHN D. DINGELL VAMC, MI",482,1,,,,,,,
553BU,"DETROIT, MI   (HOMELESS DRRTP)",483,2,,,,,,,
553BV,"DETROIT VA DOMICILIARY, MI",482,2,,,,,,,
553GA,"YALE VA CLINIC, MI",480,2,,,,,,,
553GB,"PONTIAC VA CLINIC, MI",483,2,,,,,,,
553QA,"PIQUETTE STREET VA CLINIC, MI",482,2,,,,,,,
554,"DENVER VA MEDICAL CENTER, CO",802,1,,,,,,,
554A4,"PUEBLO VA CLC, CO",810,1,,,,,,,
554BU,"VALOR POINT VA DOMICILIARY, CO",802,2,,,,,,,
554GB,"AURORA VA CLINIC, CO",800,2,,,,,,,
554GC,"GOLDEN VA CLINIC, CO ",804,2,,,,,,,
554GD,"PUEBLO VA CLINIC, CO",810,2,,,,,,,
554GE,"FLOYD K. LINDSTROM VA CLINIC (CBOC), CO",809,3,,,,,,,
554GF,"ALAMOSA VA CLINIC, CO",811,2,,,,,,,
554GG,"LA JUNTA VA CLINIC, CO",810,2,,,,,,,
554GH,"LAMAR VA CLINIC, CO",810,2,,,,,,,
554GI,"BURLINGTON VA CLINIC, CO",808,2,,,,,,,
554MA,"FORT CARSON, CO (DES)",809,2,,,,,,,
554MB,"USAF ACADEMY, CO (DES)",808,2,,,,,,,
554MC,"AURORA, CO (DES) (BUCKLEY AFB)",800,2,,,,,,,
554MD,"PETERSON AFB, CO (DES)",809,2,,,,,,,
554QA,"DENVER VA CLINIC, CO",802,2,,,,,,,
554QB,"JEWELL VA CLINIC, CO",800,2,,,,,,,
554QC,"SALIDA VA CLINIC, CO",812,3,,,,,,,
556,"CHICAGO, IL (NORTH VAMC)",600,1,,,,,,,
556GA,"EVANSTON VA CLINIC, IL",602,2,,,,,,,
556GC,"MCHENRY VA CLINIC, IL",600,2,,,,,,,
556GD,"KENOSHA VA CLINIC, WI",531,2,,,,,,,
556MA,"NORTH CHICAGO, IL (DES)",600,2,,,,,,,
557,"CARL VINSON VAMC, GA",310,1,,,,,,,
557GA,"MACON VA CLINIC, GA",312,2,,,,,,,
557GB,"ALBANY VA CLINIC, GA",317,2,,,,,,,
557GC,"MILLEDGEVILLE VA CLINIC, GA",310,2,,,,,,,
557GE,"BRUNSWICK VA CLINIC, GA",315,2,,,,,,,
557GF,"TIFTON VA CLINIC, GA",317,3,,,,,,,
557HA,"PERRY VA CLINIC, GA",310,2,,,,,,,
557MA,"ROBINS AFB, GA (DES)",310,2,,,,,,,
558,"DURHAM VA MEDICAL CENTER, NC",277,1,,,,,,,
558GA,"GREENVILLE VA CLINIC, NC",278,2,,,,,,,
558GB,"RALEIGH VA CLINIC, NC",276,2,,,,,,,
558GC,"MOOREHEAD CITY VA CLINIC, NC",285,2,,,,,,,
558GD,"DURHAM COUNTY VA CLINIC, NC",277,2,,,,,,,
558GE,"HILLANDALE ROAD VA CLINIC, NC",277,2,,,,,,,
558GF,"WAKE COUNTY VA CLINIC, NC",276,3,,,,,,,
558GG,"RALEIGH III VA CLINIC, NC",276,2,,,,,,,
558MA,"CHERRY POINT, NC (DES)",285,2,,,,,,,
558QA,"BRIER CREEK VA CLINIC,NC",276,3,,,,,,,
561,"EAST ORANGE VA MEDICAL CENTER, NJ",070,1,,,,,,,
561A4,"LYON CAMPUS OF THE VA NEW JERSEY HEALTH CARE SYSTEM, NJ",079,1,,,,,,,
561BY,"NEWARK, NJ (SAC)",071,2,,,,,,,
561BZ,"BRICK, NJ",087,2,,,,,,,
561GA,"HAMILTON VA CLINIC, NJ",086,2,,,,,,,
561GB,"ELIZABETH VA CLINIC, NJ",072,2,,,,,,,
561GD,"HACKENSACK VA CLINIC, NJ",076,2,,,,,,,
561GE,"JERSEY CITY VA CLINIC, NJ ",073,2,,,,,,,
561GF,"PISCATAWAY VA CLINIC, NJ",088,2,,,,,,,
561GH,"MORRISTOWN VA CLINIC, NJ",079,2,,,,,,,
561GI,"TINTON FALLS VA CLINIC, NJ",077,2,,,,,,,
561GJ,"PATERSON CBOC, NJ ",075,2,,,,,,,
561HB,"JAMESBURG, NJ",088,2,,,,,,,
561MA,"EAST ORANGE, NJ (DES)",070,2,,,,,,,
562,"ERIE VA MEDICAL CENTER, PA",165,1,,,,,,,
562GA,"CRAWFORD COUNTY VA CLINIC, PA",163,2,,,,,,,
562GB,"ASHTABULA COUNTY VA CLINIC, OH",440,2,,,,,,,
562GC,"McKEAN COUNTY VA CLINIC, PA",167,2,,,,,,,
562GD,"VANANGO COUNTY VA CLINIC, PA ",163,2,,,,,,,
562GE,"WARREN CTY, PA",163,2,,,,,,,
564,"FAYETTEVILLE VA MEDICAL CENTER, AR",727,1,,,,,,,
564BY,"MOUNT VERNON, MO",657,2,,,,,,,
564GA,"HARRISON VA CLINIC, AR",726,2,,,,,,,
564GB,"FORT SMITH VA CLINIC, AR",729,2,,,,,,,
564GC,"BRANSON VA CLINIC, MO",656,2,,,,,,,
564GD,"OZARK VA CLINIC, AR",729,2,,,,,,,
564GE,"JAY VA CLINIC, OK",743,2,,,,,,,
564QA,"TOWNSHIP VA CLINIC,  AR",727,2,,,,,,,
564QB,"SUNBRIDGE VA CLINIC, AR",727,2,,,,,,,
565,"FAYETTEVILLE VA MEDICAL CENTER, NC",283,1,,,,,,,
565GA,"JACKSONVILLE VA CLINIC, NC ",285,3,,,,,,,
565GC,"WILMINGTON VA CLINIC, NC",284,3,,,,,,,
565GD,"HAMLET VA CLINIC, NC",283,2,,,,,,,
565GE,"ROBESON COUNTY VA CLINIC, NC ",283,2,,,,,,,
565GF,"GOLDSBORO VA CLINIC, NC",275,2,,,,,,,
565GG,"LEE COUNTY VA CLINIC, NC",273,2,,,,,,,
565GH,"BRUNSWICK COUNTY VA CLINIC, NC",284,3,,,,,,,
565GJ,"JACKSONVILLE 2 VA CLINIC, NC",285,3,,,,,,,
565GL,"CUMBERLAND COUNTY VA CLINIC, NC",283,2,,,,,,,
565MA,"SEYMOUR JOHNSON AFB, NC (DES)",275,2,,,,,,,
565MB,"FT BRAGG, NC (DES)",283,2,,,,,,,
565MC,"FT BRAGG, NC (DES) (FORT POPE)",283,2,,,,,,,
565MD,"CAMP LEJUNE, NC (DES)",285,2,,,,,,,
565QA,"ROBESON STREET VA CLINIC, NC",283,2,,,,,,,
565QB,"FAYETTEVILLE VA MOBILE CLINIC, NC",283,2,,,,,,,
565QC,"FAYETTEVILLE 2 VA MOBILE CLINIC, NC",283,2,,,,,,,
5659AA,"FAYETTEVILLE VA COMMUNITY LIVING CENTER, NC",283,1,,,,,,,
568,"FORT MEADE VA MEDICAL CENTER, SD",577,1,,,,,,,
568A4,"VA BLACK HILLS HEALTH CARE SYSTEM – HOT SPRINGS CAMPUS, SD",577,1,,,,,,,
568GA,"RAPID CITY VA CLINIC, SD",577,2,,,,,,,
568GB,"PIERRE, SD",575,2,,,,,,,
568HA,"NEWCASTLE, WY",827,2,,,,,,,
568HB,"RUSHVILLE, NE",693,3,,,,,,,
568HF,"PINE RIDGE, SD",577,2,,,,,,,
568HH,"SCOTTSBLUFF VA CLINIC, NE",693,3,,,,,,,
568HJ,"MISSION VA CLINIC, SD",575,3,,,,,,,
568HK,"MCLAUGHLIN VA CLINIC, SD",576,2,,,,,,,
568HM,"EAGLE BUTTE VA CLINIC, SD",576,2,,,,,,,
568HP,"WINNER, SD",575,3,,,,,,,
568MA,"FORT MEADE, SD (DES)",577,2,,,,,,,
570,"FRESNO VA MEDICAL CENTER, CA",937,1,,,,,,,
570GA,"MERCED VA CLINIC, CA",953,2,,,,,,,
570GB,"TULARE VA CLINIC, CA",932,2,,,,,,,
570GC,"OAKHURST VA CLINIC, CA",936,2,,,,,,,
570MA,"LEMOORE, CA (DES)",937,2,,,,,,,
573,"MALCOLM RANDALL DEPT OF VAMC, FL",326,1,,,,,,,
573A4,"LAKE CITY VA MEDICAL CENTER, FL",320,1,,,,,,,
573BU,"GAINESVILLE VA DOMICILIARY, FL",326,2,,,,,,,
573BY,"JACKSONVILLE 1 VA CLINIC, FL",322,2,,,,,,,
573GA,"VALDOSTA, GA",316,2,,,,,,,
573GD,"OCALA VA CLINIC, FL",344,2,,,,,,,
573GE,"SAINT AUGUSTINE VA CLINIC, FL",320,2,,,,,,,
573GF,"TALLAHASSEE VA CLINIC, FL",323,3,,,,,,,
573GG,"LECANTO VA CLINIC, FL",344,2,,,,,,,
573GI,"THE VILLAGES VA CLINIC, FL",321,2,,,,,,,
573GJ,"ST. MARY'S VA CLINIC, GA",315,2,,,,,,,
573GK,"MARIANNA VA CLINIC, FL",324,3,,,,,,,
573GL,"PALATKA VA CLINIC, FL",321,2,,,,,,,
573GM,"WAYCROSS VA CLINIC, GA",315,3,,,,,,,
573GN,"PERRY VA CLINIC, FL",323,2,,,,,,,
573MA,"GAINESVILLE, FL (DES)(NAVAL HOSPITAL)",326,2,,,,,,,
573MB,"GAINESVILLE, FL (DES)(MOODY AIR FORCE BASE)",326,2,,,,,,,
573QA,"GAINESVILLE 16TH ST VA CLINIC, FL",326,2,,,,,,,
573QB,"GAINESVILLE 98TH ST VA CLINIC, FL",326,2,,,,,,,
573QC,"SIXTY FOURTH STREET VA CLINIC, FL",326,2,,,,,,,
573QD,"GAINESVILLE 64 ST 2  VA CLINIC, FL",326,2,,,,,,,
573QE,"GAINESVILLE 64 ST 3 VA CLINIC, FL",326,2,,,,,,,
573QF,"GAINESVILLE 23RD AVE VA CLINIC, FL",326,2,,,,,,,
573QG,"JACKSONVILLE SOUTHPOINT VA CLINIC, FL",322,3,,,,,,,
573QH,"OCALA WEST VA CLINIC, FL",344,2,,,,,,,
573QI,"MAHAN BOULEVARD VA CLINIC, FL",323,3,,,,,,,
573QJ,"JACKSONVILLE 2 VA CLINIC, FL",322,2,,,,,,,
575,"GRAND JUNCTION VAMC, CO",815,1,,,,,,,
575GA,"MONTROSE VA CLINIC, CO",814,2,,,,,,,
575GB,"MAJ. WILLIAM E. ADAMS VA CLINIC, CO (TELE-HEALTH)",816,2,,,,,,,
575QA,"GLENWOOD SPRINGS VA CLINIC, CO",816,3,,,,,,,
575QB,"MOAB VA CLINIC, UT",845,3,,,,,,,
578,"EDWARD HINES JUNIOR HOSPITAL, IL",601,1,,,,,,,
578GA,"JOLIET VA CLINIC, IL",604,2,,,,,,,
578GC,"KANKAKEE COUNTY VA CLINIC, IL",609,2,,,,,,,
578GD,"AURORA VA CLINIC, IL",605,2,,,,,,,
578GE,"HOFFMAN ESTATES VA CLINIC, IL",601,2,,,,,,,
578GF,"LA SALLE VA CLINIC, IL",613,2,,,,,,,
578GG,"OAK LAWN VA CLINIC, IL",604,2,,,,,,,
578QA,"HINES VA MOBILE CLINIC, IL",601,2,,,,,,,
580,"MICHAEL E. DeBAKEY VAMC, TX",770,1,,,,,,,
580BU,"HOUSTON VA DOMICILIARY, TX ",770,2,,,,,,,
580BY,"BEAUMONT, TX",777,2,,,,,,,
580BZ,"CHARLES WILSON VA OUTPATIENT CLINIC, TX",759,2,,,,,,,
580GC,"GALVESTON COUNTY VA CLINIC, TX",775,2,,,,,,,
580GD,"CONROE VA CLINIC,TX",773,2,,,,,,,
580GE,"KATY VA CLINIC, TX",774,2,,,,,,,
580GF,"LAKE JACKSON VA CLINIC, TX",775,2,,,,,,,
580GG,"RICHMOND VA CLINIC, TX",774,2,,,,,,,
580GH,"TOMBALL VA CLINIC, TX",773,2,,,,,,,
580GJ,"TEXAS CITY VA CLINIC,  TX",775,3,,,,,,,
581,"HUNTINGTON VA MEDICAL CENTER, WV",257,1,,,,,,,
581GA,"PRESTONSBURG, KY",416,2,,,,,,,
581GB,"CHARLESTON VA CLINIC, WV",253,2,,,,,,,
581GG,"GALLIPOLIS VA CLINIC, OH",456,2,,,,,,,
581GH,"LENORE VA CLINIC, WV",256,3,,,,,,,
581QA,"HUNTINGTON VA CLINIC, WV",257,2,,,,,,,
583,"RICHARD L. ROUDEBUSH VAMC, IN",462,1,,,,,,,
583BV,"INDIANAPOLIS VA DOMICILIARY, IN",462,2,,,,,,,
583GA,"TERRE HAUTE VA CLINIC, IN",478,2,,,,,,,
583GB,"BLOOMINGTON VA CLINIC, IN",474,2,,,,,,,
583GC,"MARTINSVILLE VA CLINIC, IN",461,2,,,,,,,
583GD,"INDIANAPOLIS WEST VA CLINIC, IN",462,2,,,,,,,
583GE,"WEST LAFAYETTE VA CLINIC, IN",479,3,,,,,,,
583GF,"WAKEMAN VA CLINIC, IN",461,2,,,,,,,
583QA,"MONROE COUNTY VA CLINIC, IN",474,3,,,,,,,
583QB,"INDIANAPOLIS VA CLINIC, IN",462,2,,,,,,,
583QC,"VIGO COUNTY VA CLINIC, IN",478,3,,,,,,,
585,"OSCAR G. JOHNSON VAMC, MI",498,1,,,,,,,
585GA,"HANCOCK VA CLINIC, MI",499,2,,,,,,,
585GB,"RHINELANDER, WI",545,2,,,,,,,
585GC,"MENOMINEE VA CLINIC, MI",498,2,,,,,,,
585GD,"IRONWOOD VA CLINIC, MI",499,2,,,,,,,
585GF,"MANISTIQUE VA CLINIC, MI",498,3,,,,,,,
585HA,"MARQUETTE, MI",498,2,,,,,,,
585HB,"SAULT SAINTE MARIE VA CLINIC, MI",497,2,,,,,,,
586,"G.V. (SONNY) MONTGOMERY VAMC, MS",392,1,,,,,,,
586BU,"JACKSON VA DOMICILIARY, MS",392,2,,,,,,,
586GA,"KOSCIUSKO, MS",390,2,,,,,,,
586GB,"MERIDIAN VA CLINIC, MS",393,2,,,,,,,
586GC,"GREENVILLE VA CLINIC, MS",387,2,,,,,,,
586GD,"HATTIESBURG VA CLINIC, MS",394,2,,,,,,,
586GE,"NATCHEZ, MS",391,2,,,,,,,
586GF,"COLUMBUS VA CLINIC, MS",397,2,,,,,,,
586GG,"MCCOMB VA CLINIC, MS",396,2,,,,,,,
586MA,"JACKSON, MS (DES) (MERIDIAN NAVAL)",392,2,,,,,,,
586QA,"JACKSON VA MOBILE CLINIC, MS",392,2,,,,,,,
586QB,"DOGWOOD VIEW PARKWAY VA CLINIC, MS",392,2,,,,,,,
586QC,"LAKELAND DRIVE VA CLINIC, MS",392,2,,,,,,,
589,"KANSAS CITY VA MEDICAL CENTER, MO",641,1,,,,,,,
589A4,"HARRY S. TRUMAN VAMC, MO",652,1,,,,,,,
589A5,"COLMERY-O'NEIL VAMC, KS ",666,1,,,,,,,
589A6,"DWIGHT D. EISENHOWER VAMC, KS",660,1,,,,,,,
589A7,"ROBERT J. DOLE VAMC, KS",672,1,,,,,,,
589DQ,"WICHITA, KS (NON-VA HOSPITALS)",627,1,,,,,,,
589DS,"KANSAS CITY, KS (NON-VA HOSPITALS)",641,1,,,,,,,
589G1,"WARRENSBURG VA CLINIC, MO",640,2,,,,,,,
589G2,"DODGE CITY VA CLINIC, KS",678,2,,,,,,,
589G3,"LIBERAL VA CLINIC, KS",679,2,,,,,,,
589G4,"HAYS VA CLINIC, KS",676,2,,,,,,,
589G5,"PARSONS VA CLINIC, KS",673,2,,,,,,,
589G7,"HUTCHINSON VA CLINIC, KS",675,2,,,,,,,
589G8,"JEFFERSON CITY VA CLINIC, MO",651,2,,,,,,,
589G9,"FORT RILEY VA CLINIC, KS ",664,3,,,,,,,
589GB,"BELTON VA CLINIC, MO",640,2,,,,,,,
589GC,"PAOLA VA CLINIC, KS",660,2,,,,,,,
589GD,"NEVADA VA CLINIC, MO",647,2,,,,,,,
589GE,"KIRKSVILLE VA CLINIC, MO",635,2,,,,,,,
589GF,"FORT LEONARD WOOD VA CLINIC, MO",655,2,,,,,,,
589GH,"LAKE OF THE OZARKS VA CLINIC, MO",650,2,,,,,,,
589GI,"ST. JOSEPH VA CLINIC, MO",645,2,,,,,,,
589GJ,"WYANDOTTE COUNTY VA CLINIC, KS",661,2,,,,,,,
589GM,"CHANUTE VA CLINIC, KS",667,2,,,,,,,
589GN,"EMPORIA VA CLINIC, KS",668,2,,,,,,,
589GP,"GARNETT VA CLINIC, KS",660,2,,,,,,,
589GR,"JUNCTION CITY VA CLINIC, KS",664,2,,,,,,,
589GU,"LAWRENCE VA CLINIC, KS",660,2,,,,,,,
589GV,"FORT SCOTT VA CLINIC, KS",667,2,,,,,,,
589GW,"SALINA, KS",674,2,,,,,,,
589GX,"MEXICO VA CLINIC, MO",652,2,,,,,,,
589GY,"ST. JAMES VA CLINIC, MO",655,2,,,,,,,
589GZ,"CAMERON VA CLINIC, MO",644,2,,,,,,,
589HK,"KANSAS CITY VA MOBILE CLINIC, MO",641,2,,,,,,,
589JA,"SEDALIA VA CLINIC, MO",653,2,,,,,,,
589JB,"EXCELSIOR SPRINGS VA CLINIC, MO",640,2,,,,,,,
589JD,"MARSHFIELD VA CLINIC, MO ",657,2,,,,,,,
589JE,"PLATTE CITY VA CLINIC, MO",640,2,,,,,,,
589JF,"HONOR VA CLINIC, MO",641,2,,,,,,,
589MA,"FT. RILEY, KS (DES)",664,2,,,,,,,
589MB,"WICHITA, KS (DES)",672,2,,,,,,,
589MC,"KANSAS CITY, MO (DES)",641,2,,,,,,,
589MD,"LEAVENWORTH, KS (DES)",660,2,,,,,,,
589ME,"FORT LEONARD WOOD, MO (DES)",654,2,,,,,,,
589QA,"OVERLAND PARK VA CLINIC, KS",662,2,,,,,,,
589QB,"SEDGWICK COUNTY VA CLINIC, KS",672,2,,,,,,,
589QC,"SOUTH PARKLANE VA CLINIC, KS",672,2,,,,,,,
589QD,"WICHITA VA MOBILE CLINIC, KS",672,2,,,,,,,
590,"HAMPTON VA MEDICAL CENTER, VA",236,1,,,,,,,
590GA,"NORFOLK, VA",235,2,,,,,,,
590GB,"VIRGINIA BEACH VA CLINIC, VA",234,2,,,,,,,
590GC,"ALBEMARLE VA CLINIC, NC",279,2,,,,,,,
590GD,"CHESAPEAKE VA CLINIC, VA",233,2,,,,,,,
590MA,"PORTSMOUTH, VA (DES)",237,2,,,,,,,
590MB,"LANGLEY AFB, VA (DES)",236,2,,,,,,,
590MC,"FORT EUSTIS, VA (DES)",236,2,,,,,,,
590QA,"HAMPTON VA MOBILE CLINIC, VA",236,2,,,,,,,
590QB,"HAMPTON CITY CNTY MOBILE CLNC, VA",236,2,,,,,,,
593,"LAS VEGAS VA MEDICAL CENTER, NV",890,1,,,,,,,
593GC,"PAHRUMP VA CLINIC, NV",890,2,,,,,,,
593GD,"NORTHWEST LAS VEGAS VA CLINIC, NV",891,2,,,,,,,
593GE,"SOUTHEAST LAS VEGAS VA CLINIC, NV",890,2,,,,,,,
593GF,"SOUTHWEST LAS VEGAS VA CLINIC, NV ",891,2,,,,,,,
593GG,"NORTHEAST LAS VEGAS VA CLINIC, NV ",891,2,,,,,,,
593GH,"LAUGHLIN VA CLINIC, NV",890,2,,,,,,,
593MA,"LAS VEGAS, NV (DES)",891,2,,,,,,,
593QB,"LAUGHLIN VA MOBILE CLINIC, NV",890,2,,,,,,,
593QC,"WEST CHEYENNE VA CLINIC, NV",890,2,,,,,,,
595,"LEBANON VA MEDICAL CENTER, PA",170,1,,,,,,,
595GA,"CAMP HILL VA CLINIC, PA",170,2,,,,,,,
595GC,"LANCASTER VA CLINIC, PA",176,2,,,,,,,
595GD,"BERKS COUNTY VA CLINIC, PA",196,2,,,,,,,
595GE,"YORK VA CLINIC, PA",174,2,,,,,,,
595GF,"POTTSVILLE VA CLINIC, PA ",179,2,,,,,,,
595QA,"FORT INDIANTOWN GAP VA CLINIC, PA",170,2,,,,,,,
596,"LEXINGTON VAMC-LEESTOWN, KY",405,1,,,,,,,
596A4,"LEXINGTON VAMC - COOPER DIVISION, KY",405,1,,,,,,,
596GA,"SOMERSET VA CLINIC, KY",425,3,,,,,,,
596GB,"MOREHEAD VA CLINIC, KY",403,3,,,,,,,
596GC,"HAZARD VA CLINIC, KY",417,3,,,,,,,
596GD,"BEREA VA CLINIC, KY",404,2,,,,,,,
596QA,"CUMBERLAND RIVER VA CLINIC, KY",407,3,,,,,,,
598,"JOHN L. MCCLELLAN MEM VET HOSP, AR",722,1,,,,,,,
598A0,CENTRAL ARKANSAS VETERANS HCS EUGENE J. TOWBIN HEALTHCARE CENTER,721,1,,,,,,,
598GA,"MOUNTAIN HOME VA CLINIC, AR",726,2,,,,,,,
598GB,"EL DORADO VA CLINIC, AR",717,2,,,,,,,
598GC,"HOT SPRINGS VA CLINIC, AR",719,2,,,,,,,
598GD,"MENA CBOC, AR",719,2,,,,,,,
598GE,"PINE BLUFF VA CLINIC, AR",716,2,,,,,,,
598GF,"SEARCY VA CLINIC, AR",721,2,,,,,,,
598GG,"CONWAY VA CLINIC, AR",720,2,,,,,,,
598GH,"RUSSELLVILLE VA CLINIC, AR",728,2,,,,,,,
598MA,"NORTH LITTLE ROCK, AR (DES)",721,2,,,,,,,
598QA,"LITTLE ROCK VA CLINIC, AR",722,3,,,,,,,
598QB,"LITTLE ROCK VA MOBILE CLINIC, AR",722,2,,,,,,,
600,"LONG BEACH VA MEDICAL CENTER, CA",908,1,,,,,,,
6009AA,"LONG BEACH VA COMMUNITY LIVING CENTER, CA",908,1,,,,,,,
600GA,"ANAHEIM VA CLINIC, CA",928,2,,,,,,,
600GB,"SANTA ANA VA CLINIC, CA",927,2,,,,,,,
600GC,"CABRILLO VA CLINIC, CA",908,2,,,,,,,
600GD,"WHITTIER VA CLINIC, CA",906,2,,,,,,,
600GE,"LAGUNA HILLS, CA",908,2,,,,,,,
600QA,"WEST SANTA ANA VA CLINIC, CA",927,2,,,,,,,
600QB,"LONG BEACH VA MOBILE CLINIC, CA",908,2,,,,,,,
603,"ROBLEY REX VAMC, KY",402,1,,,,,,,
603GA,"FORT KNOX, KY",401,2,,,,,,,
603GB,"NEW ALBANY VA CLINIC, IN",471,2,,,,,,,
603GC,"SHIVELY VA CLINIC, KY ",402,2,,,,,,,
603GD,"DUPONT VA CLINIC, KY",402,2,,,,,,,
603GE,"NEWBURG VA CLINIC, KY",402,2,,,,,,,
603GF,"GRAYSON COUNTY VA CLINIC, KY",427,2,,,,,,,
603GG,"SCOTT COUNTY VA CLINIC, IN",471,2,,,,,,,
603GH,"CARROLLTON VA CLINIC, KY",410,2,,,,,,,
603MA,"FORT KNOX, KY (DES)",401,2,,,,,,,
603PB,"LOUISVILLE, KY (SARRTP)",402,2,,,,,,,
603QA,"MOUNT TABOR VA CLINIC, IN",471,2,,,,,,,
605,"JERRY L. PETTIS MEM VET HOSP, CA",923,1,,,,,,,
605BZ,"LOMA LINDA VA CLINIC, CA",923,2,,,,,,,
605GA,"VICTORVILLE, CA",923,2,,,,,,,
605GB,"MURRIETA VA CLINIC, CA",925,2,,,,,,,
605GC,"PALM DESERT VA CLINIC, CA",922,2,,,,,,,
605GD,"CORONA VA CLINIC, CA",928,2,,,,,,,
605GE,"RANCHO CUCAMONGA VA CLINIC, CA",917,2,,,,,,,
605MA,"LOMA LINDA, CA (DES) (29 PALMS) ",923,2,,,,,,,
605MB,"LOMA LINDA, CA (DES) (FORT IRWIN) ",923,2,,,,,,,
605QA,"BLYTHE VA CLINIC, CA",922,3,,,,,,,
607,"WILLIAM S. MIDDLETON MEM HOSP, WI",537,1,,,,,,,
607GC,"JANESVILLE VA CLINIC, WI",535,2,,,,,,,
607GD,"BARABOO VA CLINIC, WI",539,2,,,,,,,
607GE,"BEAVER DAM VA CLINIC, WI",539,2,,,,,,,
607GF,"FREEPORT VA CLINIC, IL ",610,2,,,,,,,
607GG,"MADISON WEST VA CLINIC, WI",537,2,,,,,,,
607HA,"ROCKFORD, IL",611,2,,,,,,,
6079AA,"MADISON VA COMMUNITY LIVING CENTER, WI",537,1,,,,,,,
608,"MANCHESTER VA MEDICAL CENTER, NH",031,1,,,,,,,
608GA,"PORTSMOUTH VA CLINIC, NH",038,2,,,,,,,
608GC,"SOMERSWORTH VA CLINIC, NH",038,2,,,,,,,
608GD,"CONWAY VA CLINIC, NH",038,2,,,,,,,
608HA,"TILTON VA CLINIC, NH",032,2,,,,,,,
608MA,"MANCHESTER, NH (DES)",030,2,,,,,,,
610,"MARION VA MEDICAL CENTER, IN",469,1,,,,,,,
