#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE
1,TRUE,2015-01-05,VERIFIED,IB*2*533,486,ROUTINE,INTEGRATED BILLING,,,
2,TRUE,2015-01-05,VERIFIED,LEX*2*98,89,ROUTINE,CLINICAL LEXICON,LEX_2_98.GBLs,2015-01-05,YES
3,TRUE,2015-01-05,VERIFIED,ICPT*6*70,68,INFORMATIONAL,CPT CODES,LEX_2_98.GBLs,2015-01-05,YES
4,TRUE,2015-01-05,VERIFIED,IB*2*532,487,ROUTINE,INTEGRATED BILLING,,,
5,TRUE,2015-01-05,VERIFIED,PRS*4*140,131,ROUTINE,PAID,,,
6,TRUE,2015-01-07,VERIFIED,EC*2*125,119,ROUTINE,EVENT CAPTURE,,,
7,TRUE,2015-01-07,VERIFIED,DG*5.3*859,788,ROUTINE,REGISTRATION,,,
8,TRUE,2015-01-07,VERIFIED,DG*5.3*872,789,ROUTINE,REGISTRATION,,,
9,TRUE,2015-01-08,VERIFIED,LR*5.2*444,356,ROUTINE,LABORATORY,,,
10,TRUE,2015-01-08,VERIFIED,LR*5.2*439,357,ROUTINE,LABORATORY,,,
11,TRUE,2015-01-08,VERIFIED,NHIN*1*4,3,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,
12,TRUE,2015-01-12,VERIFIED,PREC*5*1,1,OTHER,PHARMACY ENTERPRISE CUSTOMIZATION SYSTEM,,,
13,TRUE,2015-01-12,VERIFIED,PSN*4*423,406,ROUTINE,NATIONAL DRUG FILE,NDF4P432.KIDs,2015-01-12,YES
14,TRUE,2015-01-13,VERIFIED,DVBA*2.7*187,165,ENHANCEMENT,AMIE,DVBA_217_P_187_12.ZIPs,2015-01-13,YES
15,TRUE,2015-01-14,VERIFIED,IB*2*537,488,ROUTINE,INTEGRATED BILLING,,,
16,TRUE,2015-01-14,VERIFIED,XU*8*656,515,INFORMATIONAL,VISTA KERNAL,,,
17,TRUE,2015-01-14,VERIFIED,ICD*18*77,71,ROUTINE,DRG GROUPER,,,
18,TRUE,2015-01-15,VERIFIED,PXRM*2*38,34,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_38.KIDs,2015-01-15,YES
19,TRUE,2015-01-21,VERIFIED,PSS*1*177,164,ROUTINE,PHARMACY DATA MANAGEMENT,,,
20,TRUE,2015-01-21,VERIFIED,PSN*4*434,407,INFORMATIONAL,NATIONAL DRUG FILE,,,
21,TRUE,2015-01-21,VERIFIED,PSO*7*428,372,INFORMATIONAL,OUTPATIENT PHARMACY,,,
22,TRUE,2015-01-22,VERIFIED,VBEC*1*78,77,INFORMATIONAL,VBECS,,,
26,TRUE,2015-01-26,VERIFIED,DG*5.3*895,790,ROUTINE,REGISTRATION,,,
29,TRUE,2015-01-28,VERIFIED,XT*7.3*137,110,ROUTINE,KERNEL TOOLKIT,,,
30,TRUE,2015-01-28,VERIFIED,OR*3*398,350,ROUTINE,ORDER ENTRY/RESULTS REPORTING,OR_398_1BD_66.KID,2015-01-28,NO
225,TRUE,2015-09-16,VERIFIED,RG*1*62,61,ENHANCEMENT,CLINICAL INFO NETWORK (CIRN),,,,
226,TRUE,2015-09-16,VERIFIED,MPIF*1*60,57,ENHANCEMENT,MASTER PATIENT INDEX,,,,
227,TRUE,2015-09-16,VERIFIED,VBECS*1*86,86,OTHER,VBECS,,,,
228,FALSE,2015-09-17,VERIFIED,MAG*3*157,115,ROUTINE,IMAGING,This was released to Test Sites only - is considered Code-In-Flight and will not be posted until a later date.,2015-09-18,YES,
229,TRUE,2015-09-17,VERIFIED,PXRM*2*53,43,ROUTINE,CLINICAL REMINDERS,,,,
230,TRUE,2015-09-18,VERIFIED,MHV*1*20,15,INFORMATIONAL,MYHEALTHEVET,,,,
231,TRUE,2015-09-21,VERIFIED,MD*1*36,28,ROUTINE,CLINICAL PROCEDURES,,,,
232,TRUE,2015-09-22,VERIFIED,PSJ*5*316,271,ROUTINE,INPATIENT MEDICATIONS,,,,
233,FALSE,2015-09-22,VERIFIED,DSIR*8.2*8,8,ROUTINE,RELEASE OF INFORMATION,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
234,TRUE,2015-09-22,VERIFIED,PRC*5.1*186,166,ROUTINE,IFCAP,,,,
235,TRUE,2015-09-23,VERIFIED,SD*5.3*634,526,ROUTINE,SCHEDULING,,,,
236,TRUE,2015-09-24,VERIFIED,WEBB*1*5,5,INFORMATIONAL,BED MANAGEMENT SOLUTION,,,,
237,TRUE,2015-09-24,VERIFIED,ECX*3*157,139,ROUTINE,DSS SUPPORT SYSTEM,,,,
243,TRUE,2015-09-24,VERIFIED,PRC*5.1*190,167,ROUTINE,IFCAP,,2015-09-27,YES,
238,FALSE,2015-09-24,VERIFIED,DSIR*8.2*9,9,ROUTINE,RELEASE OF INFORMATION,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
239,TRUE,2015-09-29,VERIFIED,PSN*4*453,435,ROUTINE,NATIONAL DRUG FILE,NDF4P453.KID,2015-10-01,NO,
240,TRUE,2015-09-29,VERIFIED,PSN*4*454,436,ROUTINE,NATIONAL DRUG FILE,NDF4P454.KIDs,2015-10-01,YES,
241,TRUE,2015-09-29,VERIFIED,PSN*4*441,437,ROUTINE,NATIONAL DRUG FILE,,,,
242,TRUE,2015-09-30,VERIFIED,LEX*2*101,93,ROUTINE,CLINICAL LEXICON,LEX_2_101.GBLs,2015-10-01,YES,
244,TRUE,2015-09-30,VERIFIED,ICD*18*83,76,INFORMATIONAL,DRG GROUPER,LEX_2_101.GBLs,2015-10-01,YES,
245,TRUE,2015-09-30,VERIFIED,ICPT*6*73,71,INFORMATIONAL,CPT CODES,LEX_2_101.GBLs,2015-10-01,YES,
246,TRUE,2015-10-01,VERIFIED,NHIN*1*8,6,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,,
247,TRUE,2015-10-01,VERIFIED,PXRM*2*37,44,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_37.KIDs,2015-10-02,YES,
248,TRUE,2015-10-06,VERIFIED,TBI*2*12,8,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,,
249,TRUE,2015-10-07,VERIFIED,OR*3*409,355,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,
250,TRUE,2015-10-09,VERIFIED,FB*3.5*162,134,ROUTINE,FEE BASIS,,,,
251,TRUE,2015-10-13,VERIFIED,PSN*4*455,438,ROUTINE,NATIONAL DRUG FILE,NDF4P455.KIDs,2015-10-13,YES,
252,TRUE,2015-10-13,VERIFIED,PSJ*5*217,272,ROUTINE,INPATIENT MEDICATIONS,,,,
253,TRUE,2015-10-15,VERIFIED,ECX*3*156,140,ROUTINE,DSS SUPPORT SYSTEM,,,,
254,TRUE,2015-10-15,VERIFIED,NHIN*1*9,7,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,,
255,TRUE,2015-10-15,VERIFIED,LR*5.2*459,364,ROUTINE,LABORATORY,,,,
256,FALSE,2015-10-20,VERIFIED,MAG*3*160,116,OTHER,IMAGING,This was released to Test Sites only - is considered Code-In-Flight and will not be posted until a later date.,2015-10-16,YES,
257,TRUE,2015-10-21,VERIFIED,ECX*3*158,141,ROUTINE,DSS SUPPORT SYSTEM,,,,
258,TRUE,2015-10-22,VERIFIED,VBECS*1*88,87,INFORMATIONAL,VBECS,,,,
259,TRUE,2015-10-23,VERIFIED,DVBA*2.7*192,169,ROUTINE,AMIE,DVBA_27_P192_0_2_SCRUBBED.ZIP,2015-10-27,YES,
260,TRUE,2015-10-26,VERIFIED,PSN*4*456,439,ROUTINE,NATIONAL DRUG FILE,NDF4P456.KID,2015-10-29,NO,
261,TRUE,2015-10-26,VERIFIED,PSN*4*457,440,ROUTINE,NATIONAL DRUG FILE,NDF4P457.KIDs,2015-10-29,YES,
262,TRUE,2015-10-26,VERIFIED,IB*2*546,500,ROUTINE,INTEGRATED BILLING,,,,
263,TRUE,2015-10-27,VERIFIED,HL*1.6*163,129,ROUTINE,HEALTH LEVEL 7,,,,
264,TRUE,2015-10-27,VERIFIED,TIU*1*295,263,ROUTINE,TEXT INTEGRATION UTILITY,,,,
265,FALSE,2015-10-29,VERIFIED,MAG*3*161,117,OTHER,IMAGING,This was released to Test Sites only - is considered Code-In-Flight and will not be posted until a later date.,2015-10-30,YES,
266,TRUE,2015-11-02,VERIFIED,PSB*3*86,71,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,
267,TRUE,2015-11-02,VERIFIED,DG*5.3*897,798,ROUTINE,REGISTRATION,DG_53_P897.KID,2015-11-02,NO,
268,TRUE,2015-11-02,VERIFIED,IVM*2*159,135,ROUTINE,INCOME VERIFICATION MATCH,DG_53_P897.KID,2015-11-02,NO,
269,TRUE,2015-11-03,VERIFIED,ECX*3*154,142,ROUTINE,DSS SUPPORT SYSTEM,,,,
271,TRUE,2015-11-03,VERIFIED,LR*5.2*455,365,ROUTINE,LABORATORY,,,,
272,TRUE,2015-11-03,VERIFIED,SD*5.3*633,527,ROUTINE,SCHEDULING,,,,
282,TRUE,2015-11-05,VERIFIED,SD*5.3*603,528,DATA DICTIONARY,SCHEDULING,SD_53_603.KIDs,2015-11-05,YES,
283,TRUE,2015-11-05,VERIFIED,OR*3*387,357,ROUTINE,ORDER ENTRY RESULTS REPORTING,OR_30_387.KIDs,2015-11-05,YES,
270,TRUE,2015-11-06,VERIFIED,OR*3*410 ,357,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,
273,FALSE,2015-11-09,VERIFIED,ROEV*2*1,1,INFORMATIONAL,MILITARY EYE/VISION INJURY,,,,
274,TRUE,2015-11-09,VERIFIED,PSN*4*458,441,ROUTINE,NATIONAL DRUG FILE,NDF4P458.KIDs,2015-11-27,YES,
284,TRUE,2015-11-09,VERIFIED,DGBT*1*27,28,OTHER,BENEFICIARY TRAVEL,DGBT_1_27.XML,,,
275,TRUE,2015-11-10,VERIFIED,RMPR*3*177,155,DATA DICTIONARY,PROSTHETICS,,,,
276,TRUE,2015-11-16,VERIFIED,IB*2*553,501,OTHER,INTEGRATED BILLING,,,,
277,FALSE,2015-11-16,VERIFIED,DENT*1.2*68,66,ROUTINE,DENTAL,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
278,TRUE,2015-11-19,VERIFIED,PSO*7*370,376,ROUTINE,OUTPATIENT PHARMACY,,,,
279,TRUE,2015-11-19,VERIFIED,EC*2*130,122,ROUTINE,EVENT CAPTURE,,,,
280,TRUE,2015-11-23,VERIFIED,PSN*4*459,442,ROUTINE,NATIONAL DRUG FILE,NDF4P459.KID,2015-11-27,NO,
281,TRUE,2015-11-23,VERIFIED,PSN*4*460,443,ROUTINE,NATIONAL DRUG FILE,NDF4P460.KIDs,2015-11-27,YES,
285,TRUE,2015-11-25,VERIFIED,OR*3*411,358,ENHANCEMENT,ORDER ENTRY RESULTS REPORTING,ENTERED IN ERROR 12/17/15 - DO NOT INSTALL,,,
286,FALSE,2015-12-01,VERIFIED,MAG*3*158,118,OTHER,IMAGING,This was released to Test Sites only - is considered Code-In-Flight and will not be posted until a later date.,,,
287,TRUE,2015-12-01,VERIFIED,IBD*3*68,59,DATA DICTIONARY,AUTOMATED INFORMATION COLLECTION SYSTEM,,,,
288,TRUE,2015-12-02,VERIFIED,FB*3.5*161,135,ROUTINE,FEE BASIS,,,,
289,TRUE,2015-12-07,VERIFIED,ROR*1.5*26,27,ROUTINE,CLINICAL REGISTRIES,ROR_1_5P26GUI.ZIP,2015-12-16,NO,
290,TRUE,2015-12-07,VERIFIED,MHV*1*22,16,ROUTINE,MYHEALTHEVET,,,,
291,TRUE,2015-12-07,VERIFIED,PSN*4*461,444,ROUTINE,NATIONAL DRUG FILE,NDF4P461.KIDs,2015-12-16,YES,
292,TRUE,2015-12-09,VERIFIED,IB*2*482,502,ROUTINE,INTEGRATED BILLING,,,,
293,TRUE,2015-12-09,VERIFIED,WEBP*1*1,1,INFORMATIONAL,PATIENT CENTERED MANAGEMENT MODULE (PCMM),,,,
294,TRUE,2015-12-11,VERIFIED,MAG*3*163,119,OTHER,IMAGING,MAG3_0P163.KIDs,2015-12-16,YES,
295,FALSE,2015-12-15,VERIFIED,DSIF*3.2*27,30,ROUTINE,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
296,TRUE,2015-12-15,VERIFIED,LR*5.2*453,366,ROUTINE,LABORATORY,,,,
297,TRUE,2015-12-15,VERIFIED,MPIF*1*61,58,ROUTINE,MASTER PATIENT INDEX,,,,
298,TRUE,2015-12-15,VERIFIED,DG*5.3*915,799,ROUTINE,REGISTRATION,,,,
299,TRUE,2015-12-15,VERIFIED,RG*1*63,62,ROUTINE,CLINICAL INFO NETWORK (CIRN),,,,
300,TRUE,2015-12-16,VERIFIED,PSN*4*462,445,ROUTINE,NATIONAL DRUG FILE,NDF4P462.KID,2015-12-16,NO,
301,TRUE,2015-12-16,VERIFIED,PSN*4*463,446,ROUTINE,NATIONAL DRUG FILE,NDF4P463.KIDs,2015-12-16,YES,
302,TRUE,2015-12-16,VERIFIED,TBI*2*9,9,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,,
303,TRUE,2015-12-17,VERIFIED,OHRS*1.4*14,14,INFORMATIONAL,CISS-OHRS,,,,
304,TRUE,2015-12-17,VERIFIED,DG*5.3*865,800,ROUTINE,REGISTRATION,DG_53_P865.KID,2015-12-17,NO,
305,TRUE,2015-12-17,VERIFIED,EAS*1*107,104,ROUTINE,ENROLLMENT APPLICATION SYSTEM,DG_53_P865.KID,2015-12-17,NO,
306,TRUE,2015-12-17,VERIFIED,EAS*1*111,105,ROUTINE,ENROLLMENT APPLICATION SYSTEM,DG_53_P865.KID,2015-12-17,NO,
307,TRUE,2015-12-17,VERIFIED,DG*5.3*891,801,ROUTINE,REGISTRATION,DG_53_P891.KIDs,2015-12-17,YES,
308,TRUE,2015-12-17,VERIFIED,DG*5.3*871,802,ROUTINE,REGISTRATION,DG_53_P891.KIDs,2015-12-17,YES,
309,TRUE,2015-12-17,VERIFIED,DG*5.3*890,803,DATA DICTIONARY,REGISTRATION,DG_53_P891.KIDs,2015-12-17,YES,
310,TRUE,2015-12-17,VERIFIED,DG*5.3*901,804,ROUTINE,REGISTRATION,DG_53_P891.KIDs,2015-12-17,YES,
312,TRUE,2015-12-17,VERIFIED,DG*5.3*906,806,DATA DICTIONARY,REGISTRATION,DG_53_P891.KIDs,2015-12-17,YES,
313,TRUE,2015-12-17,VERIFIED,EAS*1*113,106,ENHANCEMENT,ENROLLMENT APPLICATION SYSTEM,DG_53_P891.KIDs,2015-12-17,YES,
314,TRUE,2015-12-17,VERIFIED,IVM*2*160,136,ENHANCEMENT,INCOME VERIFICATION MATCH,DG_53_P891.KIDs,2015-12-17,YES,
315,TRUE,2015-12-17,VERIFIED,DGBT*1*29,29,INFORMATIONAL,BENEFICIARY TRAVEL,,,,
316,TRUE,2015-12-22,VERIFIED,OR*3*402,359,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,,
317,TRUE,2015-12-22,VERIFIED,FB*3.5*167,136,INFORMATIONAL,FEE BASIS,,,,
318,FALSE,2015-12-23,VERIFIED,XM*DBA*180,174,DATABASE,MAILMAN DATABASE,PERTAINS ONLY TO VA FACILITIES,,,
319,TRUE,2015-12-24,VERIFIED,PXRM*2*41,45,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_41.KIDs,2015-12-28,YES,
320,TRUE,2015-12-28,VERIFIED,GMRC*3*85,72,ENHANCEMENT,CONSULTS REQUEST TRACKING,,,,
321,TRUE,2015-12-28,VERIFIED,DG*5.3*922,807,ROUTINE,REGISTRATION,DG_53_P922.KID,2015-12-28,NO,
322,TRUE,2015-12-28,VERIFIED,EAS*1*134,107,ROUTINE,ENROLLMENT APPLICATION SYSTEM,DG_53_P922.KID,2015-12-28,NO,
323,TRUE,2015-12-28,VERIFIED,SR*3*184,175,ROUTINE,SURGERY,,,,
324,TRUE,2015-12-29,VERIFIED,XM*8*47,42,ROUTINE,MAILMAN,,,,
325,TRUE,2015-12-29,VERIFIED,LEX*2*104,94,ROUTINE,CLINICAL LEXICON,LEX_2_104.GBLs,2015-12-29,YES,
326,TRUE,2015-12-29,VERIFIED,ICPT*6*74,72,INFORMATIONAL,CPT CODES,LEX_2_104.GBLs,2015-12-29,YES,
327,TRUE,2015-12-30,VERIFIED,NHIN*1*10,8,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,,
328,TRUE,2015-12-30,VERIFIED,NHIN*1*11,9,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,,
