Package Name,Directory Name,Prefixes,File Numbers,File Names,Globals,VDL ID
,,,6928.2,ENG SPACE UTILITIES,,
,,,6928.3,ENG BUILDING,,
,,,6929,ENG EMPLOYEE,,
,,,7335.7,REGULATORY AGENCY,,
,,,7336.3,OFM SPACE CLASSIFICATION,,
,,,7336.6,OFM H089 CHAPTERS,,
,,,7336.8,OFM PROJ CATEGORY,,
,,,7336.9,OFM BUDGET CATEGORY,,
ENROLLMENT APPLICATION SYSTEM,Enrollment Application System,EAS,408.21,INDIVIDUAL ANNUAL INCOME,,121
,,,408.22,INCOME RELATION,,
,,,408.31,ANNUAL MEANS TEST,,
,,,408.32,MEANS TEST STATUS,,
,,,408.33,TYPE OF TEST,,
,,,711,1010EZ MAPPING,,
,,,712,1010EZ HOLDING,,
,,,712.5,GMT THRESHOLDS,,
,,,712.6,GMT MSA CODE,,
,,,713,EAS MT PARAMETERS,,
,,,713.1,EAS MT PATIENT STATUS,,
,,,713.2,EAS MT LETTER STATUS,,
,,,713.3,EAS MT LETTERS,,
,,,714.1,LTC CO-PAY EXEMPTION,,
,,,714.5,EAS LTC MONTHLY MAX CALCULATIONS,,
EQUIPMENT/TURN-IN REQUIEST,Equipment Turn-In Request,PRCN,413,EQUIPMENT REQUEST,,113
,,,413.1,TURN-IN REQUEST,,
,,,413.2,EQUIPMENT COMMITTEE,,
,,,413.3,CONCURRING OFFICIALS,,
,,,413.4,SPECIAL HANDLING CODES,,
,,,413.5,NX STATUS,,
,,,413.7,COUNTER,,
EVENT CAPTURE,Event Capture,EC,720,*EVENT CAPTURE PROCEDURE,,39
,,!ECT,720.1,EVENT CAPTURE LOG,,
,,!ECX,720.2,*EVENT CODE SCREENING,,
,,,720.3,EC EVENT CODE SCREENS,,
,,,720.4,EC PROCEDURE REASON,,
,,,720.5,EC EVENT CODE SCREENS/PROC REASON LINK,,
,,,721,EVENT CAPTURE PATIENT,,
,,,723,MEDICAL SPECIALTY,,
,,,724,DSS UNIT,,
,,,725,EC NATIONAL PROCEDURE,,
,,,726,EVENT CAPTURE CATEGORY,,
EVENT DRIVEN REPORTING,Event Driven Reporting,EDR,705,EDR EVENT,,
FEE BASIS,Fee Basis,FB,161,FEE BASIS PATIENT,,40
,,,161.2,FEE BASIS VENDOR,,
,,,161.21,FEE BASIS CNH CONTRACT,,
,,,161.22,FEE BASIS CNH RATE,,
,,,161.23,FEE BASIS CNH AUTHORIZATION RATE,,
,,,161.25,FEE BASIS VENDOR CORRECTION,,
,,,161.26,FEE BASIS PATIENT MRA,,
,,,161.27,FEE BASIS SUSPENSION,,
,,,161.3,FEE BASIS LETTER,,
,,,161.35,FEE BASIS PROJECT ARCH JUSTIFICATION,,
,,,161.4,FEE BASIS SITE PARAMETERS,,
,,,161.43,FEE BASIS CONTRACT,,
,,,161.45,FEE BASIS PAYMENT MOVES,,
,,,161.5,FEE CH REPORT OF CONTACT,,
,,,161.6,FEE BASIS SPECIALTY CODE,,
,,,161.7,FEE BASIS BATCH,,
,,,161.8,FEE BASIS PROGRAM,,
,,,161.81,FEE BASIS PARTICIPATION CODE,,
,,,161.82,FEE BASIS PURPOSE OF VISIT,,
,,,161.83,FEE BASIS ID CARD AUDIT,,
,,,161.9,FEE BASIS PAID TO IB,,
,,,161.91,ADJUSTMENT REASON,,
,,,161.92,ADJUSTMENT GROUP,,
,,,161.93,REMITTANCE REMARK,,
,,,161.94,PRESENT ON ADMISSION,,
,,,161.99,FEE BASIS PAYMENT REJECT CODE,,
,,,162,FEE BASIS PAYMENT,,
,,,162.1,FEE BASIS PHARMACY INVOICE,,
,,,162.2,FEE NOTIFICATION/REQUEST,,
,,,162.3,FEE CNH ACTIVITY,,
,,,162.4,VA FORM 10-7078,,
,,,162.5,FEE BASIS INVOICE,,
,,,162.6,FEE BASIS DISPOSITION CODE,,
,,,162.7,FEE BASIS UNAUTHORIZED CLAIMS,,
,,,162.8,FEE BASIS UNAUTHORIZED CLAIMS PENDING INFO,,
,,,162.91,FEE BASIS UNAUTHORIZED CLAIMS DISPOSITIONS,,
,,,162.92,FEE BASIS UNAUTHORIZED CLAIMS STATUS,,
,,,162.93,FEE BASIS UNAUTHORIZED REQUESTED INFORMATION,,
,,,162.94,FEE BASIS UNAUTHORIZED DISAPPROVAL REASONS,,
,,,162.95,FEE BASIS CHECK CANCELLATION REASON,,
,,,162.96,FEE BASIS GEOGRAPHIC INDEX,,
,,,162.97,FEE BASIS CPT RVU,,
,,,162.98,FEE BASIS MODIFIER TABLE INDEX,,
,,,162.99,FEE BASIS HCFA CONVERSION,,
,,,163.5,FPPS QUEUED INVOICES,,
,,,163.7,FEE BASIS FPPS AUDIT,,
,,,163.85,FEE BASIS VA TYPE OF SERVICE,,
,,,163.99,FEE BASIS FEE SCHEDULE,,
FILEMAN DELPHI COMPONENTS,FileMan Delphi Components,FMDC,,,,6
FOUNDATIONS,Foundations,XOBU,18.01,FOUNDATIONS SITE PARAMETERS,,163
FUNCTIONAL INDEPENDENCE,Functional Independence,RMIM,783,FUNCTIONAL INDEPENDENCE MEASUREMENT RECORD,,134
,,,783.9,FUNCTIONAL INDEPENDENCE MEASUREMENT PARAMETER,,
GEN. MED. REC. - GENERATOR,General Medical Record - Generator,GMRG,124.1,GMRG PARAMETERS,,
,,,124.2,AGGREGATE TERM,,
,,,124.25,TERM CLASSIFICATION,,
,,,124.3,GMR TEXT,,
GEN. MED. REC. - I/O,General Medical Record - IO,GMRY,126,GMRY PATIENT I/O FILE,,70
,,GMRD,126.56,GMRY INPUT TYPE,,
,,,126.58,GMRY OUTPUT TYPE,,
,,,126.6,GMRY OUTPUT SUBTYPE,,
,,,126.7,GMRY IV SITE,,
,,,126.72,GMRY IV SITE DESCRIPTION,,
,,,126.74,GMRY IV CATHETER,,
,,,126.76,GMRY IV DC'ED REASON,,
,,,126.8,GMRY INTAKE ITEMS,,
,,,126.9,GMRY NUR IV SOLUTION,,
,,,126.95,GMRY NUR SHIFT/OTHER,,
GEN. MED. REC. - VITALS,General Medical Record - Vitals,GMRV,120.5,GMRV VITAL MEASUREMENT,,107
,,GMV,120.51,GMRV VITAL TYPE,,
,,,120.52,GMRV VITAL QUALIFIER,,
,,,120.53,GMRV VITAL CATEGORY,,
,,,120.55,GMRV ORDERS,,
,,,120.57,GMRV VITALS PARAMETERS,,
GENERIC CODE SHEET,Generic Code Sheet,GEC,2100,GENERIC CODE SHEET,,7
,,,2100.1,GENERIC CODE SHEET STACK,,
,,,2101.1,GENERIC CODE SHEET BATCH TYPE,,
,,,2101.2,GENERIC CODE SHEET TRANSACTION TYPE/SEGMENT,,
,,,2101.3,GENERIC CODE SHEET TRANSMISSION RECORD,,
,,,2101.4,GENERIC CODE SHEET TEMPLATE MAPS (not used),,
,,,2101.5,GENERIC CODE SHEET COUNTER,,
,,,2101.6,GENERIC CODE SHEET LOCK,,
,,,2101.7,GENERIC CODE SHEET SITE,,
HEALTH DATA & INFORMATICS,Health Data and Informatics,HDI,7115.1,HDIS DOMAIN,,148
,,,7115.3,HDIS XML TEMPLATE,,
,,,7115.5,HDIS STATUS,,
,,,7115.6,HDIS FILE/FIELD,,
,,,7118.11,HDIS TERM/CONCEPT VUID ASSOCIATION,,
,,,7118.21,HDIS SYSTEM,,
,,,7118.22,HDIS FACILITY TERM/CONCEPT ASSOCIATION,,
,,,7118.25,HDIS VUID IMPLEMENTATION STATUS,,
,,,7118.29,HDIS PARAMETER,,
HEALTH LEVEL SEVEN,Health Level Seven,HL,770,HL7 NON-DHCP APPLICATION PARAMETER,,8
,,,771,HL7 APPLICATION PARAMETER,,
,,,771.1,HL7 FIELD,,
,,,771.2,HL7 MESSAGE TYPE,,
,,,771.3,HL7 SEGMENT TYPE,,
,,,771.4,HL7 DATA TYPE,,
,,,771.5,HL7 VERSION,,
,,,771.6,HL7 MESSAGE STATUS,,
,,,771.7,HL7 ERROR MESSAGE,,
,,,771.8,HL7 STANDARD,,
,,,771.9,HL7 DEGREE,,
,,,772,HL7 MESSAGE TEXT,,
,,,773,HL7 MESSAGE ADMINISTRATION,,
,,,774,SUBSCRIPTION CONTROL,,
,,,776,HL7 MONITOR JOB,,
,,,776.1,HL7 MONITOR,,
,,,776.2,HL7 MONITOR MASTER JOB,,
,,,776.3,HL7 MONITOR EVENT TYPE,,
,,,776.4,HL7 MONITOR EVENT,,
,,,776.5,HL7 MONITOR EVENTS PROFILE,,
,,,776.999,HL7 MONITOR PARAMETERS,,
,,,777,HLO MESSAGE BODY,,
,,,778,HLO MESSAGES,,
,,,779.001,HL7 EVENT TYPE CODE,,
,,,779.002,HL7 ACKNOWLEDGEMENT CODE,,
,,,779.003,HL7 ACCEPT/APPLICATION ACK CONDITION,,
,,,779.004,COUNTRY CODE,,
,,,779.005,HL7 MESSAGE STRUCTURE CODE,,
,,,779.1,HLO SYSTEM PARAMETERS,,
,,,779.11,HLO ERROR SCREENS,,
,,,779.2,HLO APPLICATION REGISTRY,,
,,,779.3,HLO PROCESS REGISTRY,,
,,,779.4,HLO SUBSCRIPTION REGISTRY,,
,,,779.5,HLO SEGMENT DEFINITIONS,,
,,,779.9,HLO PRIORITY QUEUES,,
,,,869.1,HL LOWER LEVEL PROTOCOL TYPE,,
,,,869.2,HL LOWER LEVEL PROTOCOL PARAMETER,,
,,,869.3,HL COMMUNICATION SERVER PARAMETERS,,
,,,870,HL LOGICAL LINK,,
HEALTH SUMMARY,Health Summary,GMTS,142,HEALTH SUMMARY TYPE,GMT,63
,,,142.1,HEALTH SUMMARY COMPONENT,,
,,,142.5,HEALTH SUMMARY OBJECTS,,
,,,142.98,HEALTH SUMMARY USER PREFERENCES,,
,,,142.99,HEALTH SUMMARY PARAMETERS,,
HEALTHEVET DESKTOP,HealtheVet Desktop,XHD,,,,138
HINQ,HINQ,DVB,31,DISABILITY CONDITION,,41
,,!DVBA,395,DVB PARAMETERS,,
,,!DVBC,395.1,ENTITLEMENT CODES,,
,,!DVBE,395.2,ANATOMICAL-LOSS CODES,,
,,,395.3,MONTHLY COMPENSATION,,
,,,395.4,DIARY DEFINITIONS,,
,,,395.5,HINQ SUSPENSE,,
,,,395.7,HINQ AUDIT,,
HOSPITAL BASED HOME CARE,Hospital Based Home Care,HBH,631,HBHC PATIENT,,68
,,,631.1,HBHC REJECT/WITHDRAW REASON,,
,,,631.2,HBHC EXPRESSIVE COMMUNICATION,,
,,,631.3,HBHC RECEPTIVE COMMUNICATION,,
,,,631.4,HBHC PROVIDER,,
,,,631.5,HBHC TYPE OF VISIT,,
,,,631.6,HBHC CLINIC,,
,,,631.7,HBHC PERIOD OF SERVICE,,
,,,631.8,HBHC VALID STATE CODE,,
,,,631.9,HBHC SYSTEM PARAMETERS,,
,,,632,HBHC VISIT,,
,,,633,HBHC TEAM,,
,,,633.1,HBHC ERROR MESSAGES FOR VISITS,,
,,,633.2,HBHC MEDICAL FOSTER HOME,,
,,,634,HBHC TRANSMIT,,
,,,634.1,HBHC EVALUATION/ADMISSION ERROR(S),,
,,,634.2,HBHC VISIT ERROR(S),,
,,,634.3,HBHC DISCHARGE ERROR(S),,
,,,634.4,HBHC FORM 6 CORRECTIONS,,
,,,634.5,HBHC PSEUDO SSN ERROR(S),,
,,,634.6,HBHC TRANSMIT HISTORY,,
,,,634.7,HBHC MEDICAL FOSTER HOME ERROR(S),,
IFCAP,IFCAP,PRC,410,CONTROL POINT ACTIVITY,,42
,,PRX,410.1,TRANSACTION NUMBER,,
,,!PRCA,410.2,CLASSIFICATION OF REQUEST,,
,,!PRCN,410.3,REPETITIVE ITEM LIST,,
,,,410.4,SUB-CONTROL POINT,,
,,,410.5,CPA FORM TYPE,,
,,,410.6,DELIVERY SCHEDULE,,
,,,410.7,SORT GROUP,,
,,,410.8,DELIVERY POINT,,
,,,410.9,AUTHORITY OF REQUEST,,
,,,411,ADMIN. ACTIVITY SITE PARAMETER,,
,,,411.2,FACILITY TYPE (TEMPORARY),,
,,,411.3,IFCAP CONVERSION DISCREPANCY,,
,,,411.4,IFCAP CONVERSION ERROR,,
,,,411.5,IFCAP PARAMETERS,,
,,,414.02,DYNAMED IFCAP INTERFACE AUDIT,,
,,,414.03,COTS INVENTORY SUBSCRIPTION CONTROL,,
,,,414.04,RECORD CHECKSUM,,
,,,414.06,IFCAP-ECMS TRANSACTION,,
,,,417,FMS TRANSACTIONS,,
,,,417.1,FMS EXCEPTIONS,,
,,,420,FUND CONTROL POINT,,
,,,420.1,COST CENTER,,
,,,420.13,PRCD SD PROGRAM,,
,,,420.131,PRCD SD FCP/PRJ,,
,,,420.132,PRCD SD OBJECT CLASS,,
,,,420.133,PRCD SD JOB,,
,,,420.134,PRCD SD REPORTING CATEGORY,,
,,,420.135,PRCD SD REVENUE SOURCE,,
,,,420.136,PRCD SD SUB-REV SOURCE,,
,,,420.137,PRCD SD SUB-OBJ,,
,,,420.138,PRCD SD FMS SECURITY,,
,,,420.14,PRCD FUND,,
,,,420.141,PRCD FMS SUB-ALLOWANCE ACCOUNT,,
,,,420.15,PRCD SD ADMINISTRATIVE OFFICE,,
,,,420.16,PRCD SD DOCUMENT TYPE,,
,,,420.17,PRCD SD DOCUMENT DATA ELEMENT,,
,,,420.18,PRCD REQUIRED FIELDS,,
,,,420.19,PRCD STANDARD DICTIONARY,,
,,,420.1999,PRCD SD STATUS,,
,,,420.2,BUDGET OBJECT CODE,,
,,,420.3,PRCD FUND/APPROPRIATION CODE,,
,,,420.4,CALM/LOG TRANSACTIONS CODE LIST,,
,,,420.5,UNIT OF ISSUE,,
,,,420.51,REASON NOT COMPETED,,
,,,420.52,SOLICITATION PROCEDURE,,
,,,420.53,EXTENT COMPETED,,
,,,420.54,EVALUATED PREFERENCE,,
,,,420.55,EPA DESIGNATED PRODUCT,,
,,,420.6,CODE INDEX,,
,,,420.7,BUDGET DISTRIBUTION CODES,,
,,,420.8,SOURCE CODE,,
,,,420.9,INTERMEDIATE PRODUCT,,
,,,420.92,PRCU IFCAP/FMS CONVERSION,,
,,,420.96,IFCAP/FMS OBLIGATION RECONCILIATION REPORT,,
,,,420.97,IFCAP/FMS FCP RECONCILIATION MESSAGE,,
,,,420.98,IFCAP/FMS FCP RECONCILIATION REPORT,,
,,,420.99,IFCAP TEMP FCP SNAPSHOT,,
,,,420.9999,PRCD SD STANDARD FOR COPYING,,
,,,421,FUND DISTRIBUTION,,
,,,421.1,MULTIPLE DISTRIBUTION,,
,,,421.2,CALM/LOG TRANSMISSION RECORD,,
,,,421.3,CALM ERROR MESSAGES,,
,,,421.4,FISCAL LOCK,,
,,,421.5,INVOICE TRACKING,,
,,,421.6,FUND DISTRIBUTION (TEMP TRANS),,
,,,421.7,INVOICE DLN COUNTER,,
,,,421.8,FISCAL STACKED DOCUMENTS,,
,,,421.9,INVOICE PARTIAL COUNTER,,
,,,422,CALM/LOG TEMPLATE MAPS,,
,,,422.2,COUNTER,,
,,,423,CALM/LOG CODE SHEET,,
,,,423.4,ISMS REASON CODES,,
,,,423.5,PRC IFCAP MESSAGE ROUTER,,
,,,423.6,ISMS/FMS TRANS,,
,,,423.9,CALM/LOG BATCH TYPE,,
,,,424,1358 DAILY RECORD,,
,,,424.1,1358 AUTHORIZATION DETAIL,,
,,,440,VENDOR,,
,,,440.2,DIRECT DELIVERY PATIENTS,,
,,,440.3,VENDOR EDIT,,
,,,440.5,PURCHASE CARD INFORMATION,,
,,,440.6,PURCHASE CARD ORDER RECONCILE,,
,,,440.7,MONTHLY ACCRUAL,,
,,,440.8,PRCH AFC CHARGE TRANSMISSION LOG,,
,,,441,ITEM MASTER,,
,,,441.2,FEDERAL SUPPLY CLASSIFICATION,,
,,,441.3,FSC GROUP TITLES,,
,,,441.4,DLA/LOG CODES,,
,,,441.6,TYPE OF REQUISITION AMENDMENT,,
,,,441.7,AMENDMENTS TO DELIVERY SCHEDULES,,
,,,442,PROCUREMENT & ACCOUNTING TRANSACTIONS,,
,,,442.2,TYPE OF AMENDMENT,,
,,,442.3,PURCHASE ORDER STATUS,,
,,,442.4,PURCHASE AUTHORITY,,
,,,442.5,PAT TYPE,,
,,,442.6,PAT NUMBER,,
,,,442.7,ADMINISTRATIVE CERTIFICATIONS,,
,,,442.8,DELIVERY SCHEDULE (ORDER),,
,,,442.9,ELEC RECEIVING REPORT BATCH,,
,,,443,REQUEST WORKSHEET,,
,,,443.1,IFCAP PURGEMASTER WORKLIST,,
,,,443.2,IFCAP PURGE PARAMETERS,,
,,,443.3,IFCAP PURGE INPROCESS,,
,,,443.4,TYPE OF SPECIAL HANDLING,,
,,,443.5,P.O./REQUEST/R.R. PRINT LOG,,
,,,443.6,AMENDMENTS,,
,,,443.75,EDI SENDER,,
,,,443.76,EDI ERROR CODES,,
,,,443.8,LOCAL PROCUREMENT REASON CODES,,
,,,443.9,IFCAP PENDING ARCHIVE,,
,,,444,REQUEST FOR QUOTATION,,
,,,444.1,RFQ VENDOR,,
,,,444.2,SIC CODE,,
,,,444.21,SIC CODE GROUPS,,
,,,444.3,RFQ COUNTER,,
,,,444.4,RFQ EDITING PREFERENCE,,
,,,445,GENERIC INVENTORY,,
,,,445.1,INVENTORY BALANCES,,
,,,445.2,INVENTORY TRANSACTION,,
,,,445.3,INTERNAL DISTRIBUTION ORDER/ADJ.,,
,,,445.4,STORAGE LOCATION,,
,,,445.5,AUTOMATED SUPPLY STATIONS,,
,,,445.6,GROUP CATEGORY,,
,,,445.7,CASE CARTS,,
,,,445.8,INSTRUMENT KITS,,
,,,446,DISTRIBUTION/USAGE HISTORY,,
,,,446.1,INVENTORY DISTRIBUTED PATIENT SUPPLIES,,
,,,446.4,BARCODE PROGRAM,,
,,,446.5,CUSTOM LABEL,,
,,,446.6,SPECIALTY COMMANDS,,
,,,446.7,CLRS REPORT STORAGE,,
,,,447,INVENTORY LOCK MANAGEMENT,,
,,,447.1,AUTOMATED SUPPLY STATION PROCESSING QUEUE,,
IMAGING,Imaging,MAG,2005,IMAGE,,105
,,ZMAG,2005.001,IMAGING STUDY,,
,,,2005.002,IMAGING ANNOTATION,,
,,,2005.02,OBJECT TYPE,,
,,,2005.021,IMAGE FILE TYPES,,
,,,2005.03,PARENT DATA FILE,,
,,,2005.1,IMAGE AUDIT,,
,,,2005.2,NETWORK LOCATION,,
,,,2005.4,IMAGE HISTOLOGICAL STAIN,,
,,,2005.41,MICROSCOPIC OBJECTIVE,,
,,,2005.71,IMAGING DICOM FIELDS,,
,,,2005.81,MAG DESCRIPTIVE CATEGORIES,,
,,,2005.82,IMAGE INDEX FOR CLASS,,
,,,2005.83,IMAGE INDEX FOR TYPES,,
,,,2005.84,IMAGE INDEX FOR SPECIALTY/SUBSPECIALTY,,
,,,2005.85,IMAGE INDEX FOR PROCEDURE/EVENT,,
,,,2005.86,IMAGE ACTIONS,,
,,,2005.87,IMAGE LIST FILTERS,,
,,,2005.872,DICOM INDEX MAPPING,,
,,,2005.88,MAG REASON,,
,,,2005.99,IMAGE INDEX FOR BODY PART,,
,,,2006.03,IMAGE BACKGROUND QUEUE,,
,,,2006.031,IMAGE BACKGROUND QUEUE POINTER,,
,,,2006.033,OFFLINE IMAGES,,
,,,2006.034,IMPORT QUEUE,,
,,,2006.035,SEND QUEUE,,
,,,2006.036,ROUTING STATISTICS,,
,,,2006.04,ACQUISITION DEVICE,,
,,,2006.041,ACQUISITION SESSION FILE,,
,,,2006.1,IMAGING SITE PARAMETERS,,
,,,2006.15,DICOM UID ROOT,,
,,,2006.17,MUSE VERSIONS,,
,,,2006.18,IMAGING USER PREFERENCE,,
,,,2006.19,IMAGING USERS,,
,,,2006.5,PACS MESSAGE,,
,,,2006.51,DICOM DATA ELEMENT DICTIONARY,,
,,,2006.511,DIAGNOSTIC INFO FIELD,,
,,,2006.52,DICOM MESSAGE TEMPLATE DICTIONARY,,
,,,2006.53,DICOM UID DICTIONARY,,
,,,2006.531,EXTENDED SOP NEGOTIATION,,
,,,2006.532,DICOM SOP CLASS,,
,,,2006.539,DICOM UID SPECIFIC ACTION,,
,,,2006.54,PDU TYPE,,
,,,2006.55,DICOM WORKLIST PATIENT,,
,,,2006.56,DICOM WORKLIST STUDY,,
,,,2006.563,DICOM GATEWAY PARAMETER,,
,,,2006.564,DICOM QUEUE,,
,,,2006.5641,DICOM GATEWAY MACHINE ID,,
,,,2006.565,EXPORT DICOM RUN,,
,,,2006.57,DICOM HL7 SEGMENT,,
,,,2006.571,DICOM RAW IMAGE,,
,,,2006.5711,DICOM M2MB RPC QUEUE,,
,,,2006.5712,DICOM FIXED QUEUE,,
,,,2006.5713,DICOM UNKNOWN MODALITY,,
,,,2006.5714,DICOM INCOMPLETE OBJECT,,
,,,2006.5715,CURRENT IMAGE,,
,,,2006.5719,DICOM ERROR LOG,,
,,,2006.572,EXAMINATION COMPLETE,,
,,,2006.573,GE PACS QUERY/RETRIEVE,,
,,,2006.5732,DICOM QUERY RETRIEVE RESULT,,
,,,2006.5733,QUERY/RETRIEVE STATISTICS,,
,,,2006.574,DICOM IMAGE OUTPUT,,
,,,2006.575,DICOM FAILED IMAGES,,
,,,2006.5751,DICOM OBJECTS TO BE IMPORTED,,
,,,2006.5752,IMPORTABLE DICOM OBJECTS,,
,,,2006.5757,DICOM RADIOLOGY PROCEDURE MODIFIERS,,
,,,2006.5758,DICOM RADIOLOGY PROCEDURES,,
,,,2006.5759,OUTSIDE IMAGING LOCATION,,
,,,2006.5761,DICOM MESSAGE STATISTISTICS,,
,,,2006.5762,DICOM INSTRUMENT STATISTICS,,
,,,2006.5763,DICOM PACS STATISTICS,,
,,,2006.5764,DICOM LOCAL INSTRUMENT STATISTICS,,
,,,2006.577,DICOM FIFO QUEUE,,
,,,2006.58,DICOM LOG,,
,,,2006.581,INSTRUMENT DICTIONARY,,
,,,2006.582,MODALITY TYPE DICTIONARY,,
,,,2006.5821,CT CONVERSION PARAMETERS,,
,,,2006.583,MODALITY WORKLIST DICTIONARY,,
,,,2006.5831,DICOM HEALTHCARE PROVIDER SERVICE,,
,,,2006.5839,DICOM GMRC TEMP LIST,,
,,,2006.584,TCP/IP PROVIDER PORT LIST,,
,,,2006.5841,TELEREADER ACQUISITION SERVICE,,
,,,2006.5842,TELEREADER ACQUISITION SITE,,
,,,2006.5843,TELEREADER READER,,
,,,2006.5849,TELEREADER READ/UNREAD LIST,,
,,,2006.585,USER APPLICATION,,
,,,2006.586,PROVIDER APPLICATION,,
,,,2006.587,DICOM TRANSMIT DESTINATION,,
,,,2006.588,APPLICATION ENTITY TITLE,,
,,,2006.59,ROUTING RULE,,
,,,2006.5906,ROUTE LOAD BALANCE,,
,,,2006.596,ACTION QUEUE STATUS,,
,,,2006.598,DICOM ERROR MESSAGE QUEUE,,
,,,2006.599,DICOM Error Log,,
,,,2006.621,MAG CT PARAMETER,,
,,,2006.623,MAG CR PARAMETER,,
,,,2006.63,MAG RAD LIST DATA ELEMENTS,,
,,,2006.631,MAG RAD LISTS DEFINITION,,
,,,2006.634,MAGJ ZLIST SEARCH,,
,,,2006.65,MAG RAD PRIOR EXAMS LOGIC,,
,,,2006.67,MAG RAD CPT MATCHING,,
,,,2006.671,MAG RAD BODY PART,,
,,,2006.672,MAG RAD BODY REGION,,
,,,2006.68,MAGJ USER DATA,,
,,,2006.69,MAG VISTARAD SITE PARAMETERS,,
,,,2006.8,BP SERVERS,,
,,,2006.81,IMAGING WINDOWS WORKSTATIONS,,
,,,2006.82,IMAGING WINDOWS SESSIONS,,
,,,2006.95,IMAGE ACCESS LOG,,
,,,2006.96,IMAGE INDEX CONVERSION,,
,,,2006.961,MULTI IMAGE PRINT,,
INCIDENT REPORTING,Incident Reporting,QAN,742,QA PATIENT INCIDENT REVIEW,,43
,,,742.1,QA INCIDENTS,,
,,,742.13,QA MEDICATION ERRORS,,
,,,742.14,QA COMPLICATIONS LEADING TO DEATH,,
,,,742.4,QA INCIDENT REPORT,,
,,,742.5,QA INCIDENT LOCATION,,
,,,742.6,QA INCIDENT SUMMARY,,
INCOME VERIFICATION MATCH,Income Verification Match,IVM,301.5,IVM PATIENT,,44
,,,301.6,IVM TRANSMISSION LOG,,
,,,301.61,IVM BILLING TRANSMISSION,,
,,,301.62,IVM FINANCIAL QUERY LOG,,
,,,301.63,IVM EXTRACT MANAGEMENT,,
,,,301.7,IVM ADDRESS CHANGE LOG,,
,,,301.9,IVM SITE PARAMETER,,
,,,301.91,IVM REASONS FOR NOT UPLOADING INSURANCE,,
,,,301.92,IVM DEMOGRAPHIC UPLOAD FIELDS,,
,,,301.93,IVM CASE CLOSURE REASON,,
,,,301.94,IVM FINANCIAL QUERY CLOSURE REASON,,
,,,408.34,SOURCE OF INCOME TEST,,
INCOMPLETE RECORDS TRACKING,Incomplete Records Tracking,DGJ,393,INCOMPLETE RECORDS,,124
,,,393.1,MAS SERVICE,,
,,,393.2,IRT STATUS,,
,,,393.3,IRT TYPE OF DEFICIENCY,,
,,,393.41,TYPE OF CATEGORY,,
INPATIENT MEDICATIONS,Inpatient Medications,PSJ,50.2,IV CATEGORY,,88
,,PSIV,50.3,PRIMARY DRUG,,
,,PSG,50.35,DRUG APPLICATION,,
,,!PSGW,50.8,IV STATS,,
,,,51.15,ADMINISTRATION SHIFT,,
,,,53.1,NON-VERIFIED ORDERS,,
,,,53.2,UNIT DOSE ORDER SET,,
,,,53.3,ACTIVITY LOG REASON,,
,,,53.4,PRE-EXCHANGE NEEDS,,
,,,53.41,MAR LABELS,,
,,,53.42,INPATIENT BACKGROUND JOB,,
,,,53.43,MISCELLANEOUS REPORT FILE,,
,,,53.44,PHYSICIANS' ORDERS,,
,,,53.45,INPATIENT USER PARAMETERS,,
,,,53.46,CLINIC DEFINITION,,
,,,53.5,PICK LIST,,
,,,53.55,UNIT DOSE/ATC MEDS,,
,,,57.1,PHARMACY QUICK ORDER,,
,,,57.5,WARD GROUP,,
,,,57.6,UNIT DOSE PICK LIST STATS,,
,,,57.7,MEDICATION ADMINISTERING TEAM,,
,,,57.8,CLINIC GROUP,,
,,,59.5,IV ROOM,,
,,,59.6,INPATIENT WARD PARAMETERS,,
INTEGRATED BILLING,Integrated Billing,IB,36,INSURANCE COMPANY,,45
,,PRQ,350,INTEGRATED BILLING ACTION,,
,,!IBD,350.1,IB ACTION TYPE,,
,,!IBQ,350.2,IB ACTION CHARGE,,
,,!PRQS,350.21,IB ACTION STATUS,,
,,,350.3,IB CHARGE REMOVE REASONS,,
,,,350.4,BILLABLE AMBULATORY SURGICAL CODE,,
,,,350.41,UPDATE BILLABLE AMBULATORY SURGICAL CODE,,
,,,350.5,BASC LOCALITY MODIFIER,,
,,,350.6,IB ARCHIVE/PURGE LOG,,
,,,350.7,AMBULATORY CHECK-OFF SHEET,,
,,,350.71,AMBULATORY SURG. CHECK-OFF SHEET PRINT FIELDS,,
,,,350.8,IB ERROR,,
,,,350.9,IB SITE PARAMETERS,,
,,,351,MEANS TEST BILLING CLOCK,,
,,,351.1,IB CONTINUOUS PATIENT,,
,,,351.2,SPECIAL INPATIENT BILLING CASES,,
,,,351.5,TRICARE PHARMACY TRANSACTIONS,,
,,,351.51,TRICARE PHARMACY ERRORS,,
,,,351.52,TRICARE PHARMACY REJECTS,,
,,,351.53,PRODUCT SELECTION REASON,,
,,,351.6,TRANSFER PRICING PATIENT,,
,,,351.61,TRANSFER PRICING TRANSACTIONS,,
,,,351.62,TRANSFER PRICING FIELD DEFINITION,,
,,,351.67,TRANSFER PRICING INPT PROSTHETIC ITEMS,,
,,,351.7,IB DM EXTRACT REPORTS,,
,,,351.701,IB DM EXTRACT DATA ELEMENTS,,
,,,351.71,IB DM EXTRACT DATA,,
,,,351.73,IB DM WORKLOAD PARAMETERS,,
,,,351.81,LTC COPAY CLOCK,,
,,,351.9,CLAIMSMANAGER BILLS,,
